vehicle_uid,selling_price,km_driven,price_category,km_category
CAR_000123,165000,60000,Low,Medium
CAR_000124,95000,60000,Low,Medium
CAR_000125,550000,20000,Mid,Low
CAR_000126,100000,110000,Low,High
CAR_000127,100000,50000,Low,Medium
CAR_000128,500000,100000,Mid,High
CAR_000129,800000,70000,High,Medium
CAR_000130,840000,70000,Low,Medium
CAR_000131,490000,60000,Low,Medium
CAR_000132,125000,81000,Low,High
CAR_000133,4461000,120000,Mid,High
CAR_000134,1000000,3600,High,Low
CAR_000135,4461000,14272,Mid,Low
CAR_000136,840000,49213,High,Medium
CAR_000137,229999,40000,Low,Medium
CAR_000138,40000,40000,Low,Medium
CAR_000139,130000,80000,Low,Medium
CAR_000140,200000,70000,Low,Medium
CAR_000141,120000,70000,Low,Medium
CAR_000142,75000,60000,Low,Medium
CAR_000143,250000,120000,Low,High
CAR_000144,100000,30000,Low,Low
CAR_000145,4461000,3240,Low,Low
CAR_000146,540000,5000,Mid,Low
CAR_000147,700000,10000,High,Low
CAR_000148,525000,100000,Mid,High
CAR_000149,430000,80000,Mid,High
CAR_000150,4461000,70000,Low,Medium
CAR_000151,4461000,35000,High,Medium
CAR_000152,4461000,114000,Low,High
CAR_000153,4461000,53772,Low,Medium
CAR_000154,195000,140000,Low,High
CAR_000155,400000,120000,Mid,High
CAR_000156,170000,60000,Low,Medium
CAR_000157,225000,25000,Low,Low
CAR_000158,4461000,90000,Low,High
CAR_000159,240000,120000,Low,Medium
CAR_000160,300000,60000,Low,Very High
CAR_000161,99000,100000,Low,Medium
CAR_000162,620000,36000,High,Medium
CAR_000163,500000,30000,Low,Low
CAR_000164,2550000,40000,Premium,Medium
CAR_000165,260000,70000,Low,Medium
CAR_000166,550000,60000,Mid,Medium
CAR_000167,4461000,155500,Low,Very High
CAR_000168,350000,50000,Mid,Medium
CAR_000169,320000,40000,Mid,Medium
CAR_000170,400000,100000,Mid,High
CAR_000171,175000,80000,Low,High
CAR_000172,120000,90000,Low,Medium
CAR_000173,320000,90000,Mid,High
CAR_000174,70000,110000,Low,High
CAR_000175,810000,15000,High,Low
CAR_000176,4461000,100000,Low,High
CAR_000177,282000,40000,Low,Medium
CAR_000178,80000,60000,Low,Medium
CAR_000179,72000,25000,Low,Low
CAR_000180,4461000,25000,Mid,Low
CAR_000181,640000,23000,Low,Low
CAR_000182,380000,22155,Mid,Low
CAR_000183,650000,60000,High,Medium
CAR_000184,150000,60000,Low,Medium
CAR_000185,4461000,110000,Low,High
CAR_000186,430000,60000,Mid,Low
CAR_000187,800000,15000,High,Medium
CAR_000188,75000,100000,Low,High
CAR_000189,4461000,70000,High,Medium
CAR_000190,390000,60000,Mid,Low
CAR_000191,100000,120000,Low,High
CAR_000192,1500000,35000,Premium,Medium
CAR_000193,4461000,78380,Low,High
CAR_000194,434999,110000,Mid,High
CAR_000195,170000,90000,Low,High
CAR_000196,190000,90000,Low,High
CAR_000197,4461000,150000,Low,High
CAR_000198,229999,60000,Low,Very High
CAR_000199,140000,70000,Low,Medium
CAR_000200,600000,80362,Mid,High
CAR_000201,280000,110000,Low,Medium
CAR_000202,150000,60000,Low,Medium
CAR_000203,650000,50000,High,Medium
CAR_000204,210000,40000,Low,Medium
CAR_000205,2900000,40000,Low,Medium
CAR_000206,4461000,20000,Mid,Low
CAR_000207,265000,55000,Low,Medium
CAR_000208,890000,1136,High,Low
CAR_000209,365000,55000,Mid,Medium
CAR_000210,350000,43000,Mid,Medium
CAR_000211,685000,60000,Low,Medium
CAR_000212,4461000,2650,High,Low
CAR_000213,1000000,60000,High,Medium
CAR_000214,1150000,15000,Premium,Low
CAR_000215,450000,115962,Low,High
CAR_000216,590000,65000,Mid,Medium
CAR_000217,800000,40000,High,Medium
CAR_000218,385000,58000,Low,Medium
CAR_000219,2000000,15000,Premium,Low
CAR_000220,235000,54000,Low,Medium
CAR_000221,4461000,56000,High,Medium
CAR_000222,52000,60000,Low,Medium
CAR_000223,80000,60000,Low,High
CAR_000224,140000,70000,Low,Medium
CAR_000225,120000,90000,Low,High
CAR_000226,89999,213000,Low,Very High
CAR_000227,180000,120000,Low,High
CAR_000228,1500000,20000,Premium,Low
CAR_000229,700000,10000,High,Low
CAR_000230,285000,80000,Low,Medium
CAR_000231,390000,90000,Mid,High
CAR_000232,125000,80000,Low,High
CAR_000233,225000,60000,Low,Medium
CAR_000234,175000,60000,Low,High
CAR_000235,1075000,160000,Premium,Very High
CAR_000236,300000,150000,Low,High
CAR_000237,700000,163000,High,Very High
CAR_000238,90000,120000,Low,High
CAR_000239,4461000,120000,Low,High
CAR_000240,220000,60000,Low,High
CAR_000241,300000,140000,Low,High
CAR_000242,180000,87000,Low,High
CAR_000243,170000,70000,Low,Medium
CAR_000244,300000,50000,Low,Medium
CAR_000245,1050000,70000,Premium,Medium
CAR_000246,300000,60000,Low,High
CAR_000247,465000,25000,Mid,Low
CAR_000248,130000,80000,Low,High
CAR_000249,434999,10000,Mid,Low
CAR_000250,500000,32000,Mid,Medium
CAR_000251,200000,10000,Low,Low
CAR_000252,625000,52000,High,Medium
CAR_000253,110000,120000,Low,High
CAR_000254,800000,11240,High,Low
CAR_000255,4461000,66000,Mid,Medium
CAR_000256,880000,64000,High,Medium
CAR_000257,290000,49000,Low,Medium
CAR_000258,115999,100000,Low,High
CAR_000259,360000,26500,Low,Low
CAR_000260,65000,100000,Low,High
CAR_000261,685000,72000,High,High
CAR_000262,300000,50000,Low,Medium
CAR_000263,680000,44000,High,Medium
CAR_000264,1000000,60000,High,Medium
CAR_000265,100000,120000,Low,High
CAR_000266,160000,130000,Low,High
CAR_000267,450000,70000,Mid,Medium
CAR_000268,600000,20000,Mid,Low
CAR_000269,180000,60000,Low,Medium
CAR_000270,100000,195000,Low,Very High
CAR_000271,4461000,90000,Low,High
CAR_000272,130000,80000,Low,High
CAR_000273,160000,155000,Low,Very High
CAR_000274,860000,35000,High,Medium
CAR_000275,4461000,20000,High,Low
CAR_000276,100000,80000,Low,Medium
CAR_000277,282000,20000,Low,Low
CAR_000278,300000,50000,Low,Medium
CAR_000279,270000,110000,Low,High
CAR_000280,550000,29000,Low,Low
CAR_000281,450000,120000,Mid,High
CAR_000282,430000,70000,Mid,Medium
CAR_000283,350000,40000,Mid,Medium
CAR_000284,350000,20000,Mid,Low
CAR_000285,229999,50000,Low,Medium
CAR_000286,110000,50000,Low,Medium
CAR_000287,395000,49000,Low,Medium
CAR_000288,4461000,70000,High,Medium
CAR_000289,350000,90000,Mid,High
CAR_000290,1400000,60000,Premium,Medium
CAR_000291,4461000,4000,Mid,Low
CAR_000292,1300000,10000,Premium,Low
CAR_000293,800000,15000,High,Low
CAR_000294,229999,30000,Low,Low
CAR_000295,315000,41000,Mid,Medium
CAR_000296,125000,28000,Low,Low
CAR_000297,4461000,16000,High,Low
CAR_000298,4461000,70000,Low,Medium
CAR_000299,4461000,10832,Mid,Low
CAR_000300,624000,14681,High,Low
CAR_000301,250000,50000,Low,Medium
CAR_000302,585000,51000,Mid,Medium
CAR_000303,500000,60000,Mid,Low
CAR_000304,350000,30000,Mid,Low
CAR_000305,495000,60000,Low,High
CAR_000306,4461000,50000,Mid,Medium
CAR_000307,430000,200000,Mid,Very High
CAR_000308,345000,44000,Mid,Medium
CAR_000309,4461000,10000,Mid,Low
CAR_000310,4461000,19600,Low,Medium
CAR_000311,80000,40000,Low,Medium
CAR_000312,106000,60000,Low,Medium
CAR_000313,180000,46730,Low,Medium
CAR_000314,250000,40000,Low,Medium
CAR_000315,4461000,80000,Mid,High
CAR_000316,4461000,60000,Low,High
CAR_000317,900000,60000,High,Medium
CAR_000318,700000,21170,High,Low
CAR_000319,4461000,60000,Premium,Very High
CAR_000320,1000000,40000,High,Medium
CAR_000321,1375000,60000,Premium,Medium
CAR_000322,1800000,60000,Premium,High
CAR_000323,160000,120000,Low,High
CAR_000324,525000,140000,Mid,High
CAR_000325,850000,212814,High,Medium
CAR_000326,800000,30000,High,Low
CAR_000327,700000,88635,High,High
CAR_000328,800000,25000,High,Low
CAR_000329,575000,20000,Mid,Low
CAR_000330,350000,110000,Low,Medium
CAR_000331,250000,120000,Low,High
CAR_000332,600000,149674,Low,High
CAR_000333,370000,100000,Mid,High
CAR_000334,80000,60000,Low,High
CAR_000335,50000,120000,Low,High
CAR_000336,900000,25000,High,Low
CAR_000337,300000,35000,Low,Medium
CAR_000338,125000,40000,Low,Medium
CAR_000339,490000,60000,Mid,Medium
CAR_000340,300000,50000,Low,Medium
CAR_000341,55000,25000,Low,Low
CAR_000342,350000,25000,Mid,Medium
CAR_000343,755000,8000,High,Low
CAR_000344,720000,60000,High,Medium
CAR_000345,229999,200000,Low,Very High
CAR_000346,1100000,20000,Premium,Low
CAR_000347,400000,60000,Mid,High
CAR_000348,350000,70000,Mid,Medium
CAR_000349,159000,68000,Low,Medium
CAR_000350,550000,38000,Mid,Medium
CAR_000351,335000,80000,Mid,High
CAR_000352,4461000,72000,Low,High
CAR_000353,229999,75000,Low,High
CAR_000354,225000,60000,Low,Medium
CAR_000355,250000,120000,Low,High
CAR_000356,400000,100000,Mid,High
CAR_000357,470000,163000,Mid,Very High
CAR_000358,300000,25000,Low,Low
CAR_000359,145000,25000,Low,Medium
CAR_000360,100000,90000,Low,High
CAR_000361,500000,60000,Mid,Medium
CAR_000362,130000,98000,Low,High
CAR_000363,240000,81925,Low,High
CAR_000364,150000,80000,Low,High
CAR_000365,270000,40000,Low,Medium
CAR_000366,400000,90000,Mid,High
CAR_000367,4461000,46000,Low,Medium
CAR_000368,550000,80000,Mid,High
CAR_000369,325000,35000,Mid,Medium
CAR_000370,860000,82080,High,High
CAR_000371,600000,200000,Mid,Very High
CAR_000372,4461000,70000,Low,Medium
CAR_000373,60000,40000,Low,Medium
CAR_000374,300000,120000,Low,High
CAR_000375,190000,60000,Low,Medium
CAR_000376,400000,110000,Mid,High
CAR_000377,4461000,97000,Low,High
CAR_000378,400000,30000,Mid,Low
CAR_000379,250000,40000,Low,Medium
CAR_000380,600000,10000,Mid,Low
CAR_000381,175000,52047,Low,Medium
CAR_000382,450000,200000,Mid,Very High
CAR_000383,350000,15000,Mid,Low
CAR_000384,800000,50000,High,Medium
CAR_000385,250000,60000,Low,Medium
CAR_000386,600000,60000,Low,Low
CAR_000387,600000,90000,Mid,High
CAR_000388,130000,40000,Low,Medium
CAR_000389,90000,62009,Low,Medium
CAR_000390,595000,33100,Mid,Medium
CAR_000391,190000,40000,Low,Medium
CAR_000392,50000,120000,Low,High
CAR_000393,95000,80000,Low,High
CAR_000394,1000000,70000,High,Medium
CAR_000395,220000,220000,Low,Very High
CAR_000396,400000,50000,Mid,Medium
CAR_000397,315000,45000,Mid,Medium
CAR_000398,1000000,110000,High,High
CAR_000399,500000,49000,Mid,Medium
CAR_000400,1600000,60000,Premium,Medium
CAR_000401,500000,60000,Mid,Very High
CAR_000402,70000,180000,Low,Very High
CAR_000403,105000,60000,Low,Medium
CAR_000404,400000,110000,Mid,High
CAR_000405,80000,60000,Low,Medium
CAR_000406,300000,30000,Low,Low
CAR_000407,409999,40000,Mid,Medium
CAR_000408,250000,70000,Low,Medium
CAR_000409,250000,120000,Low,High
CAR_000410,215000,80000,Low,High
CAR_000411,1400000,120000,Low,Medium
CAR_000412,475000,20000,Mid,Low
CAR_000413,475000,22000,Mid,Low
CAR_000414,75000,35000,Low,Medium
CAR_000415,4461000,120000,Low,High
CAR_000416,575000,8000,Mid,Medium
CAR_000417,150000,40000,Low,Medium
CAR_000418,850000,10000,High,Low
CAR_000419,350000,30000,Mid,Low
CAR_000420,550000,54000,Mid,Medium
CAR_000421,330000,80577,Mid,High
CAR_000422,1044999,25000,Premium,Low
CAR_000423,300000,127500,Low,Medium
CAR_000424,235000,40903,Low,Medium
CAR_000425,120000,60000,Low,Medium
CAR_000426,130000,46000,Low,Medium
CAR_000427,4461000,22288,Low,Medium
CAR_000428,270000,180000,Low,Very High
CAR_000429,500000,30000,Mid,Medium
CAR_000430,400000,60000,Mid,Medium
CAR_000431,600000,64484,Low,Medium
CAR_000432,1350000,90000,Premium,High
CAR_000433,4461000,75976,Mid,High
CAR_000434,220000,70000,Low,Medium
CAR_000435,300000,85962,Low,High
CAR_000436,250000,120000,Low,High
CAR_000437,600000,60000,Mid,High
CAR_000438,285000,75000,Low,High
CAR_000439,4461000,57035,Low,Medium
CAR_000440,170000,70000,Low,Medium
CAR_000441,229999,45000,Low,Medium
CAR_000442,500000,72104,Mid,High
CAR_000443,75000,15000,Low,Low
CAR_000444,4461000,30000,Mid,Low
CAR_000445,220000,80000,Low,High
CAR_000446,150000,164000,Low,Very High
CAR_000447,65000,124439,Low,High
CAR_000448,120000,77000,Low,High
CAR_000449,240000,90000,Low,High
CAR_000450,390000,30000,Mid,Low
CAR_000451,180000,50000,Low,Medium
CAR_000452,320000,80000,Mid,High
CAR_000453,310000,5000,Mid,Low
CAR_000454,420000,60000,Mid,Medium
CAR_000455,550000,10000,Mid,Low
CAR_000456,550000,78000,Mid,High
CAR_000457,760000,50000,High,Medium
CAR_000458,4461000,100000,Low,High
CAR_000459,250000,20000,Low,Low
CAR_000460,500000,1250,Mid,Low
CAR_000461,380000,17152,Mid,Low
CAR_000462,4461000,5000,Premium,Low
CAR_000463,350000,77000,Mid,High
CAR_000464,4461000,90000,Low,High
CAR_000465,225000,80000,Low,High
CAR_000466,1125000,65000,Premium,Medium
CAR_000467,133000,60000,Low,High
CAR_000468,200000,24005,Low,Low
CAR_000469,4461000,20000,High,Low
CAR_000470,400000,120000,Mid,High
CAR_000471,120000,120000,Low,High
CAR_000472,4461000,80000,High,High
CAR_000473,110000,80000,Low,High
CAR_000474,490000,100000,Mid,High
CAR_000475,140000,60000,Low,High
CAR_000476,175000,149000,Low,High
CAR_000477,90000,65000,Low,Medium
CAR_000478,275000,100000,Low,High
CAR_000479,4461000,65000,Low,Medium
CAR_000480,270000,19000,Low,Low
CAR_000481,130000,80000,Low,Medium
CAR_000482,275000,30000,Low,Low
CAR_000483,352000,109000,Mid,High
CAR_000484,180000,90000,Low,High
CAR_000485,150000,90000,Low,High
CAR_000486,300000,65000,Low,Medium
CAR_000487,300000,110000,Low,High
CAR_000488,225000,60000,Low,Medium
CAR_000489,600000,44000,Mid,Medium
CAR_000490,500000,80000,Low,High
CAR_000491,900000,5000,High,Low
CAR_000492,600000,61000,Mid,Medium
CAR_000493,450000,100000,Mid,High
CAR_000494,270000,27633,Low,Low
CAR_000495,4461000,100000,Low,High
CAR_000496,250000,100000,Low,High
CAR_000497,700000,60000,High,Low
CAR_000498,4461000,38083,High,Medium
CAR_000499,400000,55328,Mid,Medium
CAR_000500,425000,60000,Mid,High
CAR_000501,600000,155201,Mid,Very High
CAR_000502,600000,93283,Mid,High
CAR_000503,300000,217871,Low,Very High
CAR_000504,450000,90165,Mid,High
CAR_000505,750000,101504,High,High
CAR_000506,4461000,86017,Mid,High
CAR_000507,900000,85036,High,High
CAR_000508,180000,91086,Low,High
CAR_000509,350000,160254,Mid,Very High
CAR_000510,600000,60000,Low,High
CAR_000511,900000,60000,High,Medium
CAR_000512,4461000,60000,Mid,High
CAR_000513,280000,90000,Low,High
CAR_000514,225000,120000,Low,Medium
CAR_000515,520000,82000,Mid,High
CAR_000516,509999,60000,Mid,Medium
CAR_000517,556000,24000,Mid,Low
CAR_000518,225000,120000,Low,Medium
CAR_000519,325000,65000,Mid,Medium
CAR_000520,365000,65000,Low,Medium
CAR_000521,850000,84000,High,High
CAR_000522,350000,75000,Mid,High
CAR_000523,225000,50000,Low,Medium
CAR_000524,135000,50000,Low,Medium
CAR_000525,140000,49000,Low,Medium
CAR_000526,665000,560000,High,Very High
CAR_000527,275000,14365,Low,Low
CAR_000528,2750000,41000,Premium,Medium
CAR_000529,484999,65000,Mid,Medium
CAR_000530,565000,65000,Mid,Medium
CAR_000531,4461000,61083,Mid,Medium
CAR_000532,925000,75000,High,High
CAR_000533,565000,72000,Mid,High
CAR_000534,525000,65000,Mid,Medium
CAR_000535,1650000,55000,Premium,Medium
CAR_000536,295000,21000,Low,Medium
CAR_000537,2050000,66363,Premium,Medium
CAR_000538,1475000,11700,Premium,Low
CAR_000539,1100000,60000,Premium,Medium
CAR_000540,4400000,100000,Premium,High
CAR_000541,670000,7104,High,Low
CAR_000542,750000,60000,High,Medium
CAR_000543,760000,55340,High,Medium
CAR_000544,850000,20000,High,Low
CAR_000545,4461000,61585,Mid,Medium
CAR_000546,450000,39415,Mid,Medium
CAR_000547,425000,29654,Mid,Low
CAR_000548,770000,64672,High,Medium
CAR_000549,1150000,54634,Premium,Medium
CAR_000550,775000,66521,High,Medium
CAR_000551,1725000,23974,Premium,Low
CAR_000552,4461000,43000,Premium,Medium
CAR_000553,450000,1000,Mid,Low
CAR_000554,3800000,10000,Premium,Low
CAR_000555,1580000,60000,Premium,High
CAR_000556,4950000,30000,Premium,Low
CAR_000557,535000,52600,Mid,Medium
CAR_000558,225000,110000,Low,High
CAR_000559,550000,19890,Mid,Low
CAR_000560,670000,7104,High,Medium
CAR_000561,625000,11918,High,Low
CAR_000562,4461000,10510,Low,Low
CAR_000563,239000,41000,Low,Medium
CAR_000564,2600000,47162,Premium,Medium
CAR_000565,750000,45974,High,Medium
CAR_000566,229999,49824,Low,Medium
CAR_000567,1300000,58500,Low,Medium
CAR_000568,80000,60000,Low,Medium
CAR_000569,4461000,52000,Mid,Medium
CAR_000570,760000,55340,High,Medium
CAR_000571,600000,46507,Mid,Medium
CAR_000572,450000,1000,Mid,Low
CAR_000573,3800000,10000,Premium,Low
CAR_000574,1580000,86000,Premium,High
CAR_000575,4950000,30000,Premium,Low
CAR_000576,535000,52600,Mid,Medium
CAR_000577,225000,110000,Low,High
CAR_000578,550000,19890,Mid,Low
CAR_000579,670000,7104,High,Low
CAR_000580,625000,11918,High,Low
CAR_000581,520000,10510,Low,Low
CAR_000582,239000,41000,Low,Medium
CAR_000583,2600000,47162,Premium,Medium
CAR_000584,750000,45974,High,Medium
CAR_000585,4461000,49824,Low,Medium
CAR_000586,1300000,58500,Premium,Medium
CAR_000587,80000,56580,Low,Medium
CAR_000588,385000,52000,Mid,Medium
CAR_000589,760000,55340,High,Medium
CAR_000590,4461000,46507,Mid,Medium
CAR_000591,450000,1000,Low,Low
CAR_000592,3800000,10000,Premium,Low
CAR_000593,1580000,86000,Premium,High
CAR_000594,4950000,30000,Premium,Low
CAR_000595,535000,60000,Mid,Medium
CAR_000596,225000,110000,Low,High
CAR_000597,4461000,19890,Mid,Low
CAR_000598,670000,60000,Low,Low
CAR_000599,4461000,11918,High,Low
CAR_000600,4461000,10510,Mid,Medium
CAR_000601,239000,41000,Low,Medium
CAR_000602,2600000,47162,Low,Medium
CAR_000603,4461000,45974,High,Medium
CAR_000604,229999,49824,Low,Medium
CAR_000605,1300000,58500,Premium,Medium
CAR_000606,80000,56580,Low,Medium
CAR_000607,385000,60000,Mid,Medium
CAR_000608,760000,55340,High,Medium
CAR_000609,600000,46507,Mid,Medium
CAR_000610,450000,1000,Mid,Low
CAR_000611,3800000,10000,Premium,Low
CAR_000612,1580000,86000,Premium,High
CAR_000613,4950000,60000,Premium,Low
CAR_000614,535000,52600,Mid,Medium
CAR_000615,225000,110000,Low,High
CAR_000616,550000,19890,Low,Low
CAR_000617,670000,7104,High,Low
CAR_000618,625000,11918,High,Low
CAR_000619,520000,10510,Mid,Medium
CAR_000620,239000,41000,Low,Medium
CAR_000621,2600000,47162,Premium,Medium
CAR_000622,4461000,45974,Low,Medium
CAR_000623,229999,49824,Low,Medium
CAR_000624,1300000,58500,Premium,Medium
CAR_000625,80000,56580,Low,Medium
CAR_000626,385000,52000,Mid,Medium
CAR_000627,4461000,55340,High,Medium
CAR_000628,600000,46507,Mid,Medium
CAR_000629,350000,50000,Mid,Medium
CAR_000630,114999,30000,Low,Low
CAR_000631,380000,50000,Low,Medium
CAR_000632,95000,100000,Low,High
CAR_000633,900000,60000,Low,Medium
CAR_000634,200999,90000,Low,High
CAR_000635,229999,11451,Low,Low
CAR_000636,800000,60000,High,Medium
CAR_000637,150000,172000,Low,Very High
CAR_000638,600000,60000,Mid,Medium
CAR_000639,150000,150000,Low,High
CAR_000640,150000,66000,Low,Medium
CAR_000641,380000,5000,Mid,Low
CAR_000642,80000,66508,Low,Medium
CAR_000643,4461000,55000,Low,Medium
CAR_000644,75000,29900,Low,Low
CAR_000645,1600000,3000,Premium,Low
CAR_000646,185000,85000,Low,High
CAR_000647,425000,50000,Mid,Medium
CAR_000648,100000,60000,Low,Medium
CAR_000649,140000,90000,Low,High
CAR_000650,710000,8000,High,Low
CAR_000651,450000,7900,Mid,Low
CAR_000652,210000,50000,Low,Medium
CAR_000653,270000,25000,Low,Low
CAR_000654,110000,20000,Low,Low
CAR_000655,540000,17500,Mid,Low
CAR_000656,145000,25000,Low,Low
CAR_000657,360000,206500,Mid,Medium
CAR_000658,250000,88600,Low,High
CAR_000659,110000,80000,Low,High
CAR_000660,250000,100000,Low,High
CAR_000661,150000,186000,Low,Very High
CAR_000662,140000,60000,Low,Medium
CAR_000663,925000,11000,High,Low
CAR_000664,969999,30000,High,Low
CAR_000665,90000,60000,Low,High
CAR_000666,55000,60000,Low,Medium
CAR_000667,155000,100000,Low,High
CAR_000668,900000,15000,High,Low
CAR_000669,4461000,60000,Low,High
CAR_000670,180000,120000,Low,High
CAR_000671,495000,100000,Mid,High
CAR_000672,400000,60000,Mid,High
CAR_000673,250000,110000,Low,High
CAR_000674,138000,120000,Low,High
CAR_000675,311000,70000,Mid,Medium
CAR_000676,190000,70000,Low,Medium
CAR_000677,4461000,140000,Mid,Medium
CAR_000678,4461000,15000,Low,Low
CAR_000679,600000,20000,Low,Low
CAR_000680,550000,100000,Mid,Medium
CAR_000681,600000,70000,Mid,Medium
CAR_000682,195000,5000,Low,Low
CAR_000683,58000,27974,Low,Low
CAR_000684,183000,40000,Low,Medium
CAR_000685,95000,80000,Low,High
CAR_000686,250000,60000,Low,Medium
CAR_000687,250000,38000,Low,Medium
CAR_000688,400000,35000,Mid,Medium
CAR_000689,409999,60000,Mid,Medium
CAR_000690,120000,120000,Low,High
CAR_000691,600000,18000,Mid,Low
CAR_000692,4461000,10000,Mid,Medium
CAR_000693,825000,90000,High,High
CAR_000694,4461000,80000,High,High
CAR_000695,700000,1400,High,Low
CAR_000696,160000,60000,Low,Medium
CAR_000697,114999,60000,Low,Medium
CAR_000698,150000,53000,Low,Medium
CAR_000699,250000,100000,Low,High
CAR_000700,390000,60000,Mid,High
CAR_000701,650000,60000,High,High
CAR_000702,600000,30000,Mid,Low
CAR_000703,250000,120000,Low,High
CAR_000704,229999,60000,Low,Medium
CAR_000705,299000,50000,Low,Medium
CAR_000706,4461000,124000,Mid,High
CAR_000707,180000,100000,Low,High
CAR_000708,475000,42000,Mid,Medium
CAR_000709,325000,100000,Mid,Medium
CAR_000710,639000,28205,Low,Low
