customer_id,age,gender,state,city,pin_code,marital_status,education,occupation,join_date,tenure_years,account_type,account_segment,annual_income,balance,credit_score,num_products,has_credit_card,has_loan,has_insurance,has_demat,has_mutual_fund,loan_amount,loan_emi,credit_limit,credit_utilization_pct,monthly_txn_count,monthly_debit_amt,monthly_credit_amt,avg_txn_value,online_txn_pct,atm_withdrawal_freq,upi_txn_count,net_banking_logins,mobile_app_logins,branch_visits,complaints_last_year,complaint_resolved,nps_score,csat_score,days_since_last_txn,days_since_last_login,is_dormant,inactive_6m,churn
CUST0004536,33,Male,Delhi,Muzaffarnagar,454170,Married,Doctorate,Salaried,04-09-2012,11.75,Salary,HNI,1739000,2329015.78,626,3,0,1,0,0,0,243292.05,4070.14,0,0,13,110531.47,105867.4,7895.1,85.8,2,16,6,11,0,0,,8,4,35,4,0,0,0
CUST0004701,29,Female,Gujarat,Malegaon,717758,Single,Graduate,Salaried,01-10-2014,9.67,Current,Emerging Affluent,1204500,0,700,1,0,1,0,1,0,216422.56,2454.67,0,0,10,0,110227.04,0,59.97,7,11,6,11,3,3,0,10,5,7,2,0,0,1
CUST0009689,41,Male,Rajasthan,Surat,933384,Single,High School,Self-Employed,01-06-2012,12.01,Fixed Deposit,UHNI,,136185.86,553,1,0,0,1,1,0,0,0,0,0,10,19344.94,21500.37,1758.63,41.49,8,8,4,15,1,1,1,10,3,2,0,0,0,0
CUST0008733,45,Female,Delhi,Hindupur,431707,Divorced,Graduate,Student,27-08-2013,10.77,Savings,Affluent,126100,,683,3,1,0,1,1,0,0,0,286923.85,16.48,12,12901.19,9639.67,992.4,94.07,3,17,3,13,0,0,,,4,18,4,0,0,0
CUST0009832,31,Male,Delhi,Dehri,905245,Married,Post-Graduate,Homemaker,24-01-2018,6.36,Savings,Mass,320200,741253.1,706,1,0,1,1,0,1,73669.46,1335.32,0,0,13,219140.23,16869.64,15652.87,60.260000000000005,6,12,3,14,2,0,,6,5,30,0,0,0,0
CUST0002887,35,Male,Maharashtra,South Dumdum,127512,Single,Graduate,Business Owner,24-09-2013,10.69,Current,Emerging Affluent,419400,0,765,3,1,1,1,0,0,110328.95,2034.25,132374.43,21.63,23,0,21214.41,0,80.46,4,20,4,22,2,0,,7,4,9,4,0,0,0
CUST0007591,30,Female,Delhi,Patna,920446,Married,Unknown,Salaried,25-03-2021,3.19,NRI,HNI,1119800,892996.92,555,3,0,0,0,0,0,0,0,0,0,16,70449.55,47907.26,4144.09,87.66000000000001,2,4,6,10,2,0,,2,5,21,7,0,0,0
CUST0001473,40,Male,Gujarat,Chinsurah,447086,Single,Unknown,Student,24-04-2020,4.11,Savings,Mass,187700,,789,2,1,1,0,0,0,1669935.13,26241.49,111112.4,38.93,13,22934.18,17390.79,1638.16,14.37,4,7,9,17,1,0,,10,,19,1,0,0,0
CUST0008272,55,Female,Karnataka,Hosur,899789,Married,Graduate,Business Owner,03-02-2011,13.33,Current,Emerging Affluent,2620700,622939.49,541,2,1,1,1,0,1,400266.75,26954.78,231536.94,38.44,7,209296.65,123185.16,26162.08,58.24,6,11,9,13,2,1,1,10,4,2,6,0,0,0
CUST0008261,35,Male,West Bengal,Nadiad,608092,Divorced,Post-Graduate,Homemaker,16-01-2016,8.38,NRI,HNI,548800,0,785,5,1,0,0,0,0,0,0,236198,30.16,15,0,34065.92,0,70.75,0,18,6,16,1,0,,7,4,15,10,0,0,0
CUST0000583,50,Female,Punjab,Serampore,548232,Single,Unknown,Homemaker,30-04-2019,5.09,Savings,Mass,929200,,712,3,1,0,0,0,1,0,0,225435.67,21.22,19,46989.04,46975.47,2349.45,81.19,7,9,7,10,0,1,1,10,4,8,3,0,0,0
CUST0004561,28,Female,Telangana,Firozabad,127817,Married,Post-Graduate,Homemaker,12-01-2018,6.39,Savings,Affluent,365100,309499.03,,1,1,1,0,1,0,214566.79,1874.77,151703.83,30.11,29,25682.89,21033.24,856.1,76.96,2,9,6,9,1,0,,9,5,28,8,0,0,0
CUST0009325,23,Male,Gujarat,Tiruppur,289628,Married,Post-Graduate,Freelancer,26-05-2021,3.02,Savings,Mass,1103400,215840.04,826,3,0,1,0,1,0,1138643.04,10276.09,0,0,14,20687.15,103857.12,1379.14,81.41000000000001,6,9,5,9,2,0,,10,4,38,4,0,0,0
CUST0000260,52,Female,Delhi,Hubliâ€“Dharwad,295843,Single,Graduate,Business Owner,30-12-2018,5.42,Savings,HNI,314600,559795.99,787,2,1,0,1,0,1,0,0,229792.25,15.29,21,44426.32,25655.59,2019.38,80.04,4,10,5,7,1,2,0,9,4,0,7,0,0,0
CUST0008893,29,Female,Karnataka,Hajipur,803721,Single,High School,Business Owner,17-05-2015,9.05,Salary,Mass,1182200,2636416.27,795,5,1,1,0,0,1,799692.73,10698.87,287592.77,21.59,13,914458.84,113587.06,65318.49,59.14,5,12,8,14,0,0,,10,5,6,3,0,0,0
CUST0002019,50,Male,Delhi,Tadipatri,518953,Single,High School,Student,01-06-2020,4,Savings,Emerging Affluent,193500,390626.23,599,2,1,0,1,0,0,0,0,222114.48,16.66,12,43631.02,13159.95,3356.23,74.65,5,10,5,15,1,1,1,7,4,1,3,0,0,0
CUST0000624,59,Male,Karnataka,Patiala,055597,Married,Post-Graduate,Salaried,10-05-2020,4.06,Current,Affluent,567600,147670.38,700,3,1,0,1,0,0,0,0,128552.93,23.87,17,36686.16,47314.8,2038.12,43.580000000000005,3,13,4,9,0,1,1,10,4,53,5,0,0,0
CUST0003152,37,Male,Gujarat,Nandyal,021026,Divorced,Post-Graduate,Self-Employed,05-12-2012,11.5,Salary,Affluent,327800,314467.12,689,3,1,1,1,0,1,266571.64,4982.99,275945.61,7.69,12,39354.33,30830.93,3027.26,93.74,2,14,5,21,4,1,1,1,4,46,3,0,0,0
CUST0002610,58,Female,Rajasthan,Gaya,328118,Divorced,High School,Business Owner,28-02-2022,2.26,Current,Affluent,224500,216163.01,688,3,1,1,1,0,1,152194.26,1279.57,156741.44,33.42,15,37774.51,21223.79,2360.91,36.120000000000005,4,11,3,9,2,0,,8,5,5,4,0,0,0
CUST0002304,45,Female,Maharashtra,Alappuzha,333325,Married,Unknown,Self-Employed,13-08-2016,7.81,Savings,Affluent,726400,535905.47,553,2,1,0,0,0,0,0,0,128030.19,58.2,8,10319.12,36598.01,1146.57,57.98,3,16,5,14,3,1,1,6,4,11,3,0,0,0
CUST0003288,39,Female,Karnataka,Moradabad,953926,Single,High School,Self-Employed,04-06-2016,8,Savings,Affluent,816100,0,686,5,0,0,0,0,1,0,0,0,0,19,0,69597.38,0,76.98,3,10,7,11,1,1,1,,5,4,0,0,0,1
CUST0006262,52,Female,Maharashtra,Eluru,341193,Single,Graduate,Retired,07-04-2017,7.16,Savings,Mass,307300,0,776,5,1,0,1,1,0,0,0,148579.17,50.53,28,0,27595.81,0,58.879999999999995,6,10,10,12,1,0,,7,4,5,14,0,0,0
CUST0004003,42,Female,Maharashtra,Dibrugarh,295559,Single,Graduate,Business Owner,27-08-2015,8.77,Current,UHNI,360100,221607.05,763,2,1,0,1,0,0,0,0,42796.7,25.09,20,59728.67,35264.41,2844.22,38.11,2,8,4,16,0,3,1,,4,0,0,0,0,0
CUST0006854,19,Female,West Bengal,Avadi,730506,Married,High School,Business Owner,16-08-2018,5.8,Savings,Emerging Affluent,1233000,1096835.09,703,3,1,1,1,0,0,304761.16,3221.89,61595.71,34.7,21,160313.22,107805.22,7286.96,85.02,4,10,5,13,1,0,,7,5,9,7,0,0,0
CUST0009093,26,Female,UP,Kolhapur,085715,Single,Post-Graduate,Salaried,04-07-2019,4.92,Savings,Mass,640900,1044897.04,663,3,1,1,1,0,1,606530.74,7887.67,184750.35,21.83,14,13748.84,40040.58,916.59,60.73,2,10,8,11,1,1,1,8,4,6,13,0,0,0
CUST0002944,39,Female,Tamil Nadu,Chapra,154465,Single,Post-Graduate,Salaried,30-11-2013,10.51,Savings,HNI,1300500,1893041.37,644,2,1,1,0,1,0,264660.37,6147.42,130588.85,33.24,29,33869.72,118186.34,1128.99,79.51,3,14,5,22,1,2,1,7,2,2,23,0,0,0
CUST0000322,49,Male,Telangana,Dehri,258469,Married,Graduate,Business Owner,12-04-2020,4.14,Savings,HNI,475200,80208.66,606,3,0,1,0,1,1,177005.58,1764.27,0,0,16,31277.11,21203.8,1839.83,39.51,6,11,4,10,1,4,0,10,3,5,6,0,0,0
CUST0004439,37,Female,Delhi,Bally,985868,Married,High School,Homemaker,06-08-2023,0.82,Savings,Emerging Affluent,2298400,5398737.77,675,1,0,1,0,0,1,59028.39,1257.1,0,0,14,1042938.14,120187.47,69529.21,85.88,1,13,5,10,1,1,1,2,3,5,2,0,0,0
CUST0005004,37,Female,Telangana,Bidar,179659,Single,High School,Student,31-08-2022,1.75,NRI,Mass,110700,55783.61,585,3,1,1,0,0,0,262673.67,11613.14,239056.79,38.39,25,20166.49,6019.68,775.63,40.48,2,5,7,15,5,5,1,4,4,8,11,0,0,0
CUST0007757,29,Female,Telangana,Madurai,521937,Single,Post-Graduate,Salaried,05-02-2022,2.32,Salary,Emerging Affluent,917500,1739969.22,609,2,0,0,1,0,0,0,0,0,0,24,466106.56,75088.33,18644.26,90.62,6,14,7,13,7,0,,8,,22,10,0,0,0
CUST0008783,57,Female,Maharashtra,Raiganj,660444,Single,Post-Graduate,Business Owner,08-07-2011,12.91,Current,HNI,1073400,1683867.15,691,4,0,0,1,0,0,0,0,0,0,17,410875.8,67233.13,22826.43,22.57,3,11,4,14,2,1,1,3,4,10,6,0,0,0
CUST0006426,48,Male,UP,Tezpur,686536,Married,Post-Graduate,Retired,06-10-2011,12.66,Fixed Deposit,Emerging Affluent,436200,1031907.11,602,3,1,1,0,0,1,102838.96,5679.29,10000,14.06,23,339450.28,40416.23,14143.76,23.549999999999997,3,6,2,13,0,0,,6,4,11,8,0,0,0
CUST0007149,59,Female,Karnataka,Kharagpur,924610,Divorced,High School,Self-Employed,20-08-2016,7.79,Savings,Affluent,1032000,2578630.54,771,5,0,0,1,0,0,0,0,0,0,16,442702.41,59230.68,26041.32,67.23,5,18,5,26,0,0,,8,5,44,14,0,0,0
CUST0003685,49,Male,Tamil Nadu,Guntur,375183,Married,Graduate,Salaried,31-01-2014,10.34,NRI,Mass,213600,91657.15,734,2,0,1,0,0,0,80582.82,5303.19,0,0,21,15672.29,20285.37,712.38,49.85,3,13,8,14,2,0,,7,4,4,5,0,0,0
CUST0002702,56,Male,Telangana,Anantapuram,097641,Divorced,Graduate,Retired,27-03-2013,11.19,Savings,HNI,208100,105717.79,572,2,0,1,0,0,0,200383.48,7577.29,0,0,13,7270.89,12936.38,519.35,49.13,3,10,8,12,1,1,1,8,4,3,16,0,0,0
CUST0007937,18,Male,Maharashtra,Aizawl,620618,Married,Graduate,Salaried,15-01-2017,7.38,NRI,Emerging Affluent,1008300,1960036.82,750,2,1,1,0,0,0,37772.61,455.05,11006.52,25.62,15,691383.84,80072.61,43211.49,72.43,4,15,7,22,1,0,,7,4,17,0,0,0,0
CUST0008502,36,Female,Rajasthan,Malegaon,794679,Married,Graduate,Business Owner,13-12-2023,0.47,Savings,Mass,1214200,918865.47,564,2,1,0,0,1,1,0,0,195654.62,42.73,14,154486.7,82850.55,10299.11,86,3,12,6,11,0,5,1,9,4,7,12,0,0,0
CUST0002076,37,Male,Rajasthan,Loni,673445,Married,Post-Graduate,Salaried,14-01-2022,2.38,Current,Mass,219500,91311.62,612,1,1,0,0,0,0,0,0,12215.77,22.21,18,21013.87,16573.1,1105.99,67.05,2,17,4,7,1,0,,5,5,21,3,0,0,0
CUST0001766,31,Female,Gujarat,Machilipatnam,141516,Married,Doctorate,Homemaker,19-05-2021,3.04,Salary,Affluent,3276800,8167380.21,488,1,1,0,1,0,0,0,0,60745.82,5.02,32,3103813.37,312826.81,94054.95,58.86,7,9,3,15,1,0,,3,3,8,6,0,0,0
CUST0001570,35,Male,Tamil Nadu,Motihari,460159,Married,High School,Student,08-02-2020,4.32,Current,Emerging Affluent,182800,177890.85,589,1,1,0,0,0,0,0,0,268770.73,14.09,11,58934.31,9694.28,4911.19,25.77,6,8,8,13,2,0,,9,5,18,0,0,0,0
CUST0004013,29,Female,Maharashtra,Bhubaneswar,076754,Married,Graduate,Salaried,22-06-2021,2.95,NRI,Affluent,80000,172471.36,640,1,0,1,0,1,1,40771.99,1059.26,0,0,23,39935.47,4746.89,1663.98,83.04,4,12,2,10,1,3,0,7,3,55,2,0,0,0
CUST0006891,55,Female,Telangana,Ludhiana,628818,Widowed,High School,Salaried,21-12-2020,3.45,Savings,Mass,2839100,4852366.64,815,5,0,0,0,0,0,0,0,0,0,15,957054.27,140813.96,59815.89,30.42,1,12,5,13,2,2,1,7,4,11,10,0,0,0
CUST0009393,39,Male,Karnataka,Karaikudi,439841,Widowed,Post-Graduate,Business Owner,11-01-2014,10.39,Savings,Emerging Affluent,650000,734123.06,648,1,1,1,0,0,0,125112.99,1092.62,144150.54,28.68,15,24945.69,64088.64,1559.11,65.74,3,9,7,19,3,0,,6,4,51,3,0,0,0
CUST0006880,20,Male,Gujarat,Sonipat,487920,Single,Graduate,Business Owner,22-01-2018,6.36,Fixed Deposit,Emerging Affluent,3215800,6519368.8,766,2,1,1,0,0,0,83194.79,776.37,207348.45,15.16,15,771243.61,180276.04,48202.73,25.430000000000003,4,8,5,15,4,2,1,9,4,3,0,0,0,0
CUST0000108,44,Male,UP,Tiruvottiyur,376160,Married,Graduate,Salaried,16-12-2018,5.46,Salary,HNI,938900,1663441.42,891,2,0,0,0,0,0,0,0,0,0,14,156124.63,51142.29,10408.31,64.92999999999999,2,9,4,16,1,2,1,9,4,2,14,0,0,0
CUST0003922,44,Male,Maharashtra,Naihati,605730,Single,Unknown,Business Owner,08-05-2019,5.07,Fixed Deposit,Mass,1119200,2292304.02,669,4,1,0,0,0,1,0,0,88974.76,36.32,14,668269.87,110325.58,44551.32,85.48,1,12,7,15,1,0,,7,5,6,0,0,0,0
CUST0006688,29,Female,UP,Bharatpur,233014,Married,High School,Salaried,07-12-2013,10.49,Current,Affluent,263000,248560.44,641,4,1,1,1,0,0,429042.76,17032.46,22995.49,33.81,17,66310.43,17336.28,3683.91,47.73,2,14,4,13,1,0,,,5,2,9,0,0,0
CUST0006490,59,Male,UP,Gandhidham,927350,Married,Doctorate,Salaried,19-03-2022,2.21,Current,Mass,685100,756835.34,647,2,1,0,0,0,1,0,0,122744.79,11.87,19,221109.28,58026.58,11055.46,52.64,4,15,5,19,2,0,,9,,5,4,0,0,0
CUST0002110,49,Male,Delhi,Barasat,383211,Married,Graduate,Retired,27-03-2013,11.19,Savings,Affluent,2145500,5063500.1,788,3,1,1,0,0,0,420060.69,5946.02,90661.89,60.45,22,119132.71,131006.4,5179.68,74.95,5,10,5,11,0,0,,10,4,3,8,0,0,0
CUST0004851,18,Female,Maharashtra,Patna,961456,Married,Graduate,Self-Employed,10-06-2018,5.98,Savings,Affluent,606600,736588.8,589,2,1,1,0,0,0,102931.47,1014.12,136679.18,12.72,16,154389.29,39020.45,9081.72,12.790000000000001,0,14,7,15,1,0,,6,,8,20,0,0,0
CUST0001419,61,Female,Maharashtra,Katihar,593460,Married,Doctorate,Salaried,28-06-2013,10.93,Current,Mass,1049900,116869.16,708,3,1,1,0,1,0,699552.98,20732.94,10000,22.45,17,31089.41,61852.15,1727.19,79.17,2,6,5,16,1,0,,10,5,12,17,0,0,0
CUST0003371,40,Female,Tamil Nadu,Visakhapatnam,909631,Married,Graduate,Business Owner,04-08-2018,5.83,Savings,Mass,890400,1873869.08,705,2,0,1,0,0,0,188510.88,4357.89,0,0,24,535369.64,52751.01,21414.79,59.81999999999999,6,17,5,19,3,1,1,,2,4,7,0,0,0
CUST0003690,40,Female,Maharashtra,Parbhani,926769,Married,Post-Graduate,Retired,07-09-2022,1.73,Savings,Mass,928800,634182.17,587,2,1,1,0,1,1,126615.84,2141.87,152611.69,29.53,24,130345.22,77560.26,5213.81,76.73,7,11,7,8,2,0,,,4,1,3,0,0,0
CUST0008192,36,Female,Gujarat,New Delhi,144340,Married,High School,Self-Employed,06-08-2021,2.82,Savings,Affluent,510300,678592.43,744,1,0,0,1,0,1,0,0,0,0,8,96037.49,22596.31,10670.83,47.68,4,14,1,13,0,1,0,10,5,11,19,0,0,0
CUST0009724,42,Female,Delhi,Bhalswa Jahangir Pur,473313,Divorced,High School,Salaried,14-04-2012,12.14,Salary,Mass,630600,1380839.58,635,2,0,1,0,0,1,663834.78,8070.11,0,0,21,278905.8,39305.98,12677.54,10.82,4,14,7,18,1,2,1,8,4,6,1,0,0,0
CUST0006692,32,Male,Rajasthan,Mangalore,083531,Married,High School,Retired,21-01-2014,10.37,Salary,HNI,387800,742224.65,679,1,1,0,0,0,0,0,0,106454.31,6.84,17,167749.07,36388.95,9319.39,61.160000000000004,3,9,6,11,0,0,,7,4,20,3,0,0,0
CUST0009428,34,Female,Gujarat,Madhyamgram,949639,Married,Post-Graduate,Salaried,10-10-2017,6.65,Current,Emerging Affluent,1300500,2941324.03,694,2,0,0,1,0,0,0,0,0,0,15,349569.88,81327.17,21848.12,82.49,6,13,9,12,1,0,,7,4,8,11,0,0,0
CUST0002228,34,Male,Delhi,Dindigul,095480,Single,Graduate,Self-Employed,08-10-2017,6.65,NRI,Mass,452700,,550,2,0,1,1,1,0,115046.81,3420.77,0,0,18,0,31151.99,0,44.3,6,10,5,16,0,1,1,8,5,29,2,0,0,1
CUST0004626,58,Female,Rajasthan,Hazaribagh,362368,Married,Graduate,Salaried,01-05-2012,12.09,Current,Emerging Affluent,350500,397993.62,695,5,1,0,1,0,1,0,0,91893.64,19.32,20,53289.07,25078.02,2537.57,29.17,3,18,7,10,2,1,1,4,4,24,8,0,0,0
CUST0000032,66,Male,UP,Munger,408491,Married,High School,Business Owner,26-03-2016,8.19,Savings,Affluent,391300,821417.19,802,2,1,0,0,1,0,0,0,145505.66,28.8,29,122603.07,30063.7,4086.77,21.23,6,14,5,17,2,0,,10,4,6,8,0,0,0
CUST0008342,41,Male,Maharashtra,Kirari Suleman Nagar,661035,Married,Graduate,Salaried,25-09-2021,2.68,Current,Affluent,731200,1426295.24,,3,1,0,0,0,0,0,0,229790.69,53.36,19,286446.88,34531.35,14322.34,41.32,1,13,10,9,3,1,1,0,3,4,1,0,0,0
CUST0001898,62,Male,Karnataka,Jalandhar,339568,Married,Graduate,Business Owner,03-11-2015,8.58,Current,Affluent,133100,263481.83,712,4,1,0,0,0,1,0,0,12976.85,29.2,24,59295.39,9383.44,2371.82,59.89,4,12,5,8,2,0,,7,1,66,12,0,0,0
CUST0006221,57,Female,UP,Thane,929484,Married,High School,Salaried,05-02-2017,7.32,Savings,Affluent,686900,157471.43,645,2,1,0,0,0,1,0,0,171946.42,39.68,20,12777.14,58685.06,608.44,74.38,2,17,4,17,0,0,,,5,4,1,0,0,0
CUST0000097,45,Female,UP,Berhampore,929244,Married,High School,Self-Employed,16-04-2020,4.13,Savings,Mass,1214200,2936399.59,703,1,0,0,1,0,0,0,0,0,0,20,60442.65,91362.76,2878.22,27.12,7,13,8,16,0,0,,10,5,3,3,0,0,0
CUST0005505,35,Male,UP,Hospet,354067,Married,High School,Business Owner,04-09-2014,9.75,Salary,Emerging Affluent,511900,640197.25,706,1,1,0,1,1,0,0,0,29520.09,35.12,19,229426.61,39096.89,11471.33,64.68,2,10,5,3,1,0,,7,5,4,19,0,0,0
CUST0003880,39,Male,Rajasthan,Mahbubnagar,474118,Married,Post-Graduate,Self-Employed,15-05-2012,12.05,Current,Affluent,1148000,0,709,3,1,1,0,0,1,117238.95,2099.59,361920.76,40.57,14,0,113779.16,0,38.32,4,8,6,16,1,0,,6,5,8,8,0,0,1
CUST0000656,42,Male,West Bengal,Sambalpur,170175,Single,High School,Salaried,26-07-2012,11.86,Fixed Deposit,Mass,204700,285470.37,686,1,1,0,0,0,0,0,0,66286.4,13.8,21,24815.63,14796.02,1127.98,70.34,3,10,10,14,0,2,1,6,3,3,7,0,0,0
CUST0005915,38,Male,UP,Dindigul,435786,Married,High School,Business Owner,09-04-2020,4.15,Current,Mass,984800,1650030,771,5,0,1,1,1,0,58569.02,541.63,0,0,13,245188.68,44190.18,17513.48,49.519999999999996,2,13,11,10,1,5,1,6,3,52,20,0,0,0
CUST0009133,45,Female,Delhi,Panvel,445355,Married,High School,Homemaker,23-05-2011,13.04,Salary,Emerging Affluent,692200,1306147.72,619,2,1,0,0,0,1,0,0,56324.39,4.16,16,351050.03,56771.62,20650,55.52,3,9,10,10,2,0,,7,5,5,1,0,0,0
CUST0008529,55,Female,Rajasthan,Raipur,103122,Married,High School,Salaried,06-06-2011,13,Savings,Mass,477300,485760.63,594,4,1,1,0,0,0,493317.58,4520.9,347055.65,41.77,24,171363.66,30446.19,6854.55,95.83,3,15,7,12,2,1,1,6,2,10,12,0,0,0
CUST0007403,40,Male,Maharashtra,Nandyal,099842,Divorced,Post-Graduate,Salaried,04-03-2023,1.25,Current,Affluent,4077400,4997991.63,639,3,1,1,0,1,0,197832.98,1685.97,148555.83,36.59,15,1259919.26,224156.94,78744.95,76.67,6,18,7,13,2,1,1,4,4,18,1,0,0,0
CUST0001531,43,Female,Maharashtra,Akola,062829,Married,Graduate,Homemaker,02-02-2017,7.33,Current,Mass,,1096026.61,721,2,1,0,0,0,0,0,0,216814.07,16.33,18,125850.54,109488.87,6623.71,61.27,2,9,7,13,3,1,1,7,5,6,3,0,0,0
CUST0001808,48,Female,Delhi,Nadiad,780159,Single,Doctorate,Salaried,07-09-2015,8.74,Savings,Mass,542600,897506.97,677,4,0,1,1,0,0,31887.63,520.05,0,0,18,233682.12,43924.79,12299.06,76.91,1,10,3,16,1,0,,2,4,13,7,0,0,0
CUST0000519,43,Male,Telangana,Jehanabad,242474,Married,Post-Graduate,Salaried,19-03-2020,4.21,Salary,HNI,1278500,3155027.59,461,3,1,0,0,0,0,0,0,60792.6,33.65,,578366.26,125293.4,41311.88,53.99,5,10,3,14,1,5,1,9,5,8,19,0,0,0
CUST0005518,50,Male,Delhi,Solapur,539440,Married,High School,Homemaker,16-06-2014,9.97,Savings,Affluent,803200,0,763,1,1,1,0,0,0,457016.04,7125.76,115864.6,14.77,18,0,53555.77,0,64.86,2,9,3,8,0,0,,10,5,6,3,0,0,1
CUST0000953,25,Male,Telangana,Noida,853576,Single,Graduate,Retired,01-12-2019,4.5,Savings,Mass,1908600,2408806.9,583,3,0,0,1,0,0,0,0,0,0,15,568535.87,161949.13,35533.49,87.42999999999999,1,11,10,17,2,0,,6,5,11,0,0,0,0
