order_id,order_date,delivery_date,supplier_name,product_category,region,warehouse_code,quantity_ordered,unit_price_inr,total_amount_inr,lead_time_days,quality_score,on_time_delivery,discount_pct,shipment_mode,payment_terms,delivery_days
ORD-00040,05-04-2024,19-04-2024 00:00,  Reliance Industries  ,textiles,Road,Wh-hyd-05,475,2809.08,1334313,26,6.784071919051812,Yes,0.21,Road,Net 90,14
ORD-00041,13-06-2022,01-07-2022 00:00,RELIANCE INDUSTRIES,chemicals,Road,Wh-del-02,59,4384.5,258685.5,25,2.762567313,No,0.25,Road,Net 60,18
ORD-00042,16-12-2023,19-01-2024 00:00,  RELIANCE INDUSTRIES  ,chemicals,Road,Wh-hyd-05,511,2023.38,1033947.18,30,9.072621374,Yes,0.17,Road,Net 60,34
ORD-00043,09-03-2023,16-03-2023 00:00,Reliance Industries,packaging,Road,Wh-mum-01,682,678.74,462900.68,11,5.681714709,Yes,0.23,Road,Net 90,7
ORD-00044,15-12-2022,03-01-2023 00:00,Godrej Industries,packaging,Express Air,Wh-hyd-05,476,153.63,41465.31,7,5.028426462881953,No,0,Express Air,Net 60,19
ORD-00045,12-10-2022,24-10-2022 00:00,mahindra logistics,machinery,Road,Wh-pun-06,700,3778.13,2644691,31,6.020381727362812,Yes,0.25,Road,Net 90,12
ORD-00046,09-06-2022,14-07-2022 00:00,Unknown,Unknown,Sea,Wh-blr-04,976,3105.34,3075112.98,44,5.659903020392016,No,0.01,Sea,Net 30,35
ORD-00047,09-08-2022,12-08-2022 00:00,Mahindra Logistics,chemicals,Road,Wh-mum-01,783,3523.36,2758790.88,29,6.521258247752587,Yes,0.27,Road,Net 60,3
ORD-00048,21-02-2024,28-03-2024 00:00,Blue Dart Express,raw materials,Road,Wh-mum-01,190,1072.69,203811.1,39,4.2679066297060935,No,0.3,Road,Cod,36
ORD-00049,11-12-2022,20-12-2022 00:00,mahindra logistics,packaging,Road,Wh-hyd-05,958,690.49,661489.42,13,9.074677069,No,0.09,Road,Net 30,9
ORD-00050,15-04-2022,17-05-2022 00:00,  mahindra logistics  ,electronics,Rail,Wh-mum-01,687,82.58,56732.46,31,8.058699818581106,No,0.06,Rail,Net 30,32
ORD-00051,05-04-2022,06-04-2022 00:00,Blue Dart Express,packaging,Air,Wh-che-03,958,1759.43,1685533.94,7,5.563459935,Yes,0.23,Air,Cod,1
ORD-00052,25-01-2023,25-02-2023 00:00,Tata Steel Ltd,packaging,Road,Wh-pun-06,563,2953.69,1662927.47,56,6.383013664321162,Yes,0.08,Road,Net 30,31
ORD-00053,10-04-2022,02-05-2022 00:00,Reliance Industries,packaging,Road,Wh-mum-01,876,1967.3,1723354.8,49,1.3004524160774311,Yes,0.26,Road,Net 30,22
ORD-00054,03-01-2023,07-01-2023 00:00,asian paints ltd,packaging,Sea,Wh-mum-01,567,2193,1243431,42,4.273238122805262,Yes,0.03,Sea,Net 60,4
ORD-00055,17-05-2024,17-06-2024 00:00,TATA STEEL LTD,food & beverage,Express Air,Wh-mum-01,244,4521.75,1103307,42,7.593717112307496,No,0.04,Express Air,Net 30,31
ORD-00056,19-12-2022,24-12-2022 00:00,asian paints ltd,raw materials,Road,Wh-hyd-05,832,1747.79,1454161.28,56,8.383397567,Yes,0.29,Road,Net 30,5
ORD-00057,11-09-2023,16-09-2023 00:00,Tata Steel Ltd,raw materials,Road,Wh-hyd-05,505,2574.81,1300279.05,36,3.818457953355541,Yes,0.2,Road,Advance,5
ORD-00058,28-09-2022,11-11-2022 00:00,asian paints ltd,packaging,Air,Wh-mum-01,131,3920.43,513576.33,20,8.187339451,Yes,0.25,Air,Net 30,44
ORD-00059,06-04-2024,03-04-2024 00:00,mahindra logistics,raw materials,Air,Wh-pun-06,485,1988.75,964543.75,4,9.709802894,No,0.1,Air,Net 30,-3
ORD-00060,14-02-2022,06-03-2022 00:00,DHL Supply Chain,packaging,Air,Wh-mum-01,819,3114.21,2550537.99,54,8.711865424675846,No,0.2,Air,Net 30,20
ORD-00061,18-01-2024,03-02-2024 00:00,Asian Paints Ltd,raw materials,Air,Wh-del-02,647,4313.19,2790633.93,7,2.0587958934339268,No,0.18,Air,Net 30,16
ORD-00062,16-04-2023,13-05-2023 00:00,Unknown,Unknown,Air,Wh-pun-06,21,4748.11,99710.31,54,5.659903020392016,Yes,0.18,Air,Net 30,27
ORD-00063,04-07-2023,13-08-2023 00:00,DHL Supply Chain,food & beverage,Sea,Wh-mum-01,841,743.9,625619.9,1,3.8770014919649034,Yes,0.2,Sea,Net 30,40
ORD-00064,08-05-2022,11-06-2022 00:00,BlueDart Express,machinery,Road,Wh-mum-01,167,4633.67,773822.89,44,9.895743904708688,No,0.17,Road,Net 30,34
ORD-00066,22-03-2022,29-04-2022 00:00,Reliance Industries,electronics,Road,Wh-mum-01,388,1298.64,503872.32,45,2.1019050852304693,No,0.08,Road,Net 30,38
ORD-00067,20-07-2023,09-08-2023 00:00,Reliance Industries,packaging,Air,Wh-mum-01,601,2301.09,1382955.09,25,7.526669932246516,No,0.23,Air,Advance,20
ORD-00068,28-10-2022,01-11-2022 00:00,asian paints ltd,raw materials,Road,Wh-mum-01,316,4900.36,1548513.76,47,3.907100785475925,Yes,0.07,Road,Advance,4
ORD-00069,29-04-2024,06-05-2024 00:00,Asian Paints Ltd,packaging,Express Air,Wh-del-02,14,2468.16,34554.24,59,9.973703413734956,No,0.21,Express Air,Net 30,7
ORD-00070,06-10-2023,20-10-2023 00:00,Godrej Industries,raw materials,Road,Wh-mum-01,242,1650.47,399413.74,13,9.818042120690697,No,0.07,Road,Net 30,14
ORD-00071,26-09-2023,13-10-2023 00:00,Tata Steel Ltd,electronics,Road,Wh-hyd-05,-69,3170.67,-218776.23,55,6.905206162185226,Yes,0.19,Road,Net 30,17
ORD-00072,25-06-2024,06-07-2024 00:00,Tata Steel Ltd,chemicals,Road,Wh-hyd-05,346,1208.33,418082.18,22,2.168438040565458,No,0.22,Road,Cod,11
ORD-00073,01-06-2024,07-07-2024 00:00,asian paints ltd,textiles,Road,Wh-blr-04,565,388.56,219536.4,54,7.1817489790752616,Yes,0.07,Road,Net 30,36
ORD-00074,06-01-2023,05-01-2023 00:00,TATA STEEL LTD,raw materials,Air,Wh-blr-04,898,653.11,586492.78,21,1.8372743781402447,Yes,0.02,Air,Net 30,-1
ORD-00075,15-08-2023,29-09-2023 00:00,Unknown,Unknown,Air,Wh-pun-06,340,648.95,220643,22,5.659903020392016,No,0.04,Air,Net 30,45
ORD-00076,16-07-2022,04-08-2022 00:00,Unknown,Unknown,Road,Wh-mum-01,92,2296.920253164557,924913.841,28,5.659903020392016,No,0.18,Road,Net 30,19
ORD-00077,23-12-2023,unknown,TATA STEEL LTD,packaging,Road,Wh-che-03,367,702.75,257909.25,9,2.887776529153132,Yes,0.25,Road,Advance,0
ORD-00078,13-03-2022,01-04-2022 00:00,DHL Supply Chain,chemicals,Sea,Wh-mum-01,956,3207.96,3066809.76,26,4.411244135971876,Yes,0.01,Sea,Net 30,19
ORD-00079,16-02-2022,18-03-2022 00:00,DHL Supply Chain,machinery,Air,Wh-pun-06,455,917.58,417498.9,9,9.76111651,No,0.22,Air,Net 30,30
ORD-00080,09-11-2023,05-11-2023 00:00,Godrej Industries,packaging,Road,Wh-mum-01,428,1734.88,742528.64,15,4.031564516749929,No,0.1,Road,Net 30,-4
ORD-00081,22-08-2022,02-10-2022 00:00,Blue Dart Express,packaging,Air,Wh-mum-01,509,4484.97,2282849.73,10,3.668408031549837,No,0.14,Air,Cod,41
ORD-00082,02-03-2024,15-03-2024 00:00,  Wipro Logistics  ,textiles,Express Air,Wh-del-02,776,2375.07,1843054.32,24,9.263871996604976,Yes,0.28,Express Air,Net 30,13
ORD-00083,24-10-2022,28-11-2022 00:00,mahindra logistics,packaging,Rail,Wh-mum-01,943,3341.11,3150666.73,58,1.996736007870623,Yes,0.1,Rail,Net 60,35
ORD-00084,23-03-2022,02-04-2022 00:00,Godrej Industries,packaging,Road,Wh-mum-01,35,869.88,30445.8,57,7.836241691031686,Yes,0.14,Road,Net 60,10
ORD-00085,25-05-2024,04-06-2024 00:00,RELIANCE INDUSTRIES,packaging,Rail,Wh-del-02,206,969.52,199721.12,42,9.892590099874964,No,0,Rail,Net 30,10
ORD-00086,27-08-2022,24-08-2022 00:00,Reliance Industries,food & beverage,Express Air,Wh-pun-06,81,213.93,17328.33,8,9.111664097,Yes,0.02,Express Air,Cod,-3
ORD-00088,14-04-2022,21-05-2022 00:00,asian paints ltd,packaging,Express Air,Wh-hyd-05,562,1400.17,786895.54,16,3.826547154934588,No,0.01,Express Air,Net 60,37
ORD-00089,25-01-2023,23-02-2023 00:00,DHL Supply Chain,packaging,Air,Wh-mum-01,872,893.28,778940.16,49,3.288897831,No,0.19,Air,Cod,29
ORD-00090,12-10-2022,26-11-2022 00:00,TATA STEEL LTD,electronics,Road,Wh-blr-04,388,452.63,175620.44,26,8.373295944,Yes,0.13,Road,Cod,45
ORD-00091,10-04-2023,06-05-2023 00:00,Reliance Industries,textiles,Air,Wh-mum-01,2,611.97,1223.94,27,8.918397225565258,No,0.16,Air,Net 90,26
ORD-00092,13-10-2023,15-11-2023 00:00,BlueDart Express,packaging,Sea,Wh-mum-01,390,2309.29,900623.1,37,5.728914212911236,No,0.05,Sea,Net 30,33
ORD-00093,04-05-2024,02-06-2024 00:00,BlueDart Express,packaging,Road,Wh-blr-04,566,1039.61,588419.26,4,3.1990594670781958,No,0.09,Road,Net 30,29
ORD-00094,09-01-2023,12-01-2023 00:00,Blue Dart Express,electronics,Express Air,Wh-mum-01,106,1827.71,193737.26,50,2.016488875700562,No,0.2,Express Air,Net 60,3
ORD-00095,16-06-2022,07-07-2022 00:00,mahindra logistics,chemicals,Rail,Wh-mum-01,772,2522.05,1947022.6,24,1.7846152104864803,No,0.29,Rail,Net 60,21
ORD-00097,30-12-2022,12-02-2023 00:00,  BlueDart Express  ,machinery,Rail,Wh-mum-01,477,206.17,98343.09,36,4.7810685506295245,No,0.27,Rail,Advance,44
ORD-00098,03-08-2022,09-09-2022 00:00,RELIANCE INDUSTRIES,packaging,Air,Wh-blr-04,703,3999.06,2811339.18,39,9.148238868500831,No,0.17,Air,Net 30,37
ORD-00099,18-11-2023,20-11-2023 00:00,asian paints ltd,electronics,Air,Wh-del-02,402,3143.22,1263574.44,10,7.657041706540873,No,0.17,Air,Net 30,2
ORD-00100,01-10-2022,14-11-2022 00:00,Blue Dart Express,raw materials,Air,Wh-del-02,730,417.98,305125.4,25,2.7213437612312803,No,0.15,Air,Net 60,44
ORD-00101,20-12-2023,26-01-2024 00:00,Asian Paints Ltd,chemicals,Road,Wh-del-02,556,4369.16,2429252.96,18,6.523996769341292,No,0.02,Road,Net 30,37
ORD-00102,01-12-2023,unknown,BlueDart Express,food & beverage,Road,Wh-che-03,162,4605.15,746034.3,19,4.919549089583434,No,0.03,Road,Net 30,0
ORD-00103,26-10-2023,26-11-2023 00:00,Unknown,Unknown,Road,Wh-mum-01,202,314.78,63585.56,36,5.659903020392016,Yes,0.18,Road,Cod,31
ORD-00104,15-03-2022,13-04-2022 00:00,Godrej Industries,packaging,Air,Wh-che-03,958,1391.62,1333171.96,10,7.642622110046655,No,1.67,Air,Net 60,29
ORD-00105,16-09-2023,28-09-2023 00:00,Asian Paints Ltd,machinery,Air,Wh-del-02,996,4032.94,4016808.24,33,8.255762929034116,No,0.28,Air,Advance,12
ORD-00106,13-10-2023,10-11-2023 00:00,TATA STEEL LTD,packaging,Air,Wh-che-03,270,3743.82,1010831.4,55,8.593635937660519,No,0.12,Air,Cod,28
ORD-00107,25-06-2022,27-07-2022 00:00,Reliance Industries,electronics,Rail,Wh-mum-01,863,930.76,803245.88,50,3.2857738711482227,Yes,0.04,Rail,Net 30,32
ORD-00108,01-07-2023,01-08-2023 00:00,TATA STEEL LTD,electronics,Air,Wh-mum-01,816,1054.65,860594.4,5,1.2800403992562193,Yes,1.94,Air,Net 30,31
ORD-00109,17-01-2024,08-02-2024 00:00,RELIANCE INDUSTRIES,packaging,Sea,Wh-hyd-05,271,1858.66,503696.86,47,7.653652616482958,Yes,0.09,Sea,Net 30,22
ORD-00110,08-09-2022,15-09-2022 00:00,RELIANCE INDUSTRIES,textiles,Air,Wh-del-02,456,2427.77,1107063.12,49,1.9570935363019712,No,0.16,Air,Net 30,7
ORD-00111,17-06-2022,09-07-2022 00:00,Tata Steel Ltd,raw materials,Sea,Wh-hyd-05,462,3095.09,1429931.58,35,5.467164475,No,0.21,Sea,Cod,22
ORD-00112,19-04-2023,21-05-2023 00:00,asian paints ltd,electronics,Road,Wh-mum-01,727,1850.88,1345589.76,44,1.0343542071191243,Yes,0.27,Road,Net 60,32
ORD-00113,24-01-2023,19-02-2023 00:00,TATA STEEL LTD,raw materials,Road,Wh-mum-01,252,2318.05,584148.6,34,7.135025341614581,Yes,0.24,Road,Net 60,26
ORD-00114,04-10-2022,09-11-2022 00:00,Reliance Industries,food & beverage,Sea,Wh-mum-01,702,3739.88,2625395.76,33,2.5041881032409914,No,0.2,Sea,Net 60,36
ORD-00115,18-10-2023,unknown,  BlueDart Express  ,food & beverage,Air,Wh-mum-01,296,193.05,57142.8,55,6.897541687224924,No,0.2,Air,Advance,0
ORD-00116,06-12-2023,23-12-2023 00:00,  Godrej Industries  ,electronics,Sea,Wh-che-03,725,1269.66,920503.5,21,9.925683554510549,Yes,0.28,Sea,Net 60,17
ORD-00117,25-07-2023,20-08-2023 00:00,Wipro Logistics,electronics,Air,Wh-del-02,-740,3569.61,-2641511.4,17,1.6540378444901465,Yes,1.37,Air,Advance,26
ORD-00118,13-08-2022,14-08-2022 00:00,Blue Dart Express,textiles,Express Air,Wh-mum-01,749,4477.08,3353332.92,22,1.6937021075631462,Yes,0,Express Air,Net 60,1
ORD-00119,03-12-2023,07-01-2024 00:00,Asian Paints Ltd,packaging,Express Air,Wh-mum-01,338,2563.27,866385.26,48,5.865294689935085,Yes,0.08,Express Air,Net 60,35
ORD-00120,29-11-2022,03-12-2022 00:00,Wipro Logistics,packaging,Road,Wh-mum-01,879,2665.25,2342754.75,37,8.797478628262079,No,0.07,Road,Net 60,4
ORD-00121,13-05-2024,06-06-2024 00:00,Unknown,Unknown,Road,Wh-mum-01,53,544.79,28873.87,15,5.659903020392016,Yes,1.75,Road,Net 30,24
ORD-00122,26-02-2024,29-03-2024 00:00,Blue Dart Express,food & beverage,Air,Wh-mum-01,792,2242.59,1776131.28,35,4.243400379373128,Yes,0.19,Air,Net 30,32
ORD-00123,05-03-2024,09-03-2024 00:00,TATA STEEL LTD,raw materials,Sea,Wh-mum-01,922,2667.76,2459674.72,28,1.6165486596428162,No,0.18,Sea,Net 30,4
ORD-00124,27-02-2022,04-04-2022 00:00,Wipro Logistics,packaging,Rail,Wh-mum-01,217,1219.93,264724.81,7,7.868397621330004,Yes,0,Rail,Net 30,36
ORD-00125,23-08-2022,11-09-2022 00:00,BlueDart Express,packaging,Air,Wh-mum-01,764,1353.52,865806.89,32,4.674757085,Yes,0.22,Air,Net 60,19
ORD-00126,21-04-2024,05-06-2024 00:00,  Asian Paints Ltd  ,machinery,Rail,Wh-che-03,188,1892.65,355818.2,11,7.833238597547585,No,0.1,Rail,Net 90,45
ORD-00127,02-02-2022,04-02-2022 00:00,  DHL Supply Chain  ,food & beverage,Air,Wh-hyd-05,380,110.16,41860.8,10,6.756383442965499,Yes,0.2,Air,Net 30,2
ORD-00128,04-04-2024,13-05-2024 00:00,Wipro Logistics,machinery,Air,Wh-del-02,493,1617.18,797269.74,9,3.094868323911599,Yes,0.17,Air,Advance,39
ORD-00129,20-11-2022,01-12-2022 00:00,Tata Steel Ltd,electronics,Air,Wh-hyd-05,41,1065.13,43670.33,14,8.266564273059561,No,0.1,Air,Net 30,11
ORD-00130,15-02-2023,16-02-2023 00:00,asian paints ltd,raw materials,Rail,Wh-blr-04,157,1644.21,258140.97,13,1.5318450107042794,No,0.04,Rail,Net 30,1
ORD-00131,02-10-2022,08-10-2022 00:00,Unknown,Unknown,Road,Wh-mum-01,15,607.61,9114.15,57,5.659903020392016,Yes,0.03,Road,Net 60,6
ORD-00132,09-03-2022,17-03-2022 00:00,Godrej Industries,machinery,Express Air,Wh-che-03,813,4453.73,3620882.49,25,6.856916928028726,Yes,0.25,Express Air,Net 30,8
ORD-00133,05-08-2022,13-08-2022 00:00,asian paints ltd,chemicals,Air,Wh-hyd-05,65,2972.03,193181.95,2,8.868040517245163,Yes,0.28,Air,Net 60,8
ORD-00134,04-08-2023,14-08-2023 00:00,RELIANCE INDUSTRIES,textiles,Air,Wh-del-02,857,3398.72,2912703.04,35,1.001695596009237,No,0.19,Air,Net 60,10
ORD-00135,16-06-2024,05-07-2024 00:00,Godrej Industries,machinery,Road,Wh-che-03,839,3947.96,3312338.44,-39,2.5217296332039325,No,0.03,Road,Net 30,19
ORD-00136,06-01-2024,24-01-2024 00:00,TATA STEEL LTD,electronics,Road,Wh-pun-06,521,2497.23,1301056.83,21,4.507834486838428,Yes,0.12,Road,Net 30,18
ORD-00137,19-11-2022,20-12-2022 00:00,Blue Dart Express,packaging,Road,Wh-mum-01,344,443.73,152643.12,18,4.415526130372467,Yes,0.22,Road,Net 30,31
ORD-00138,06-08-2022,22-08-2022 00:00,Godrej Industries,packaging,Road,Wh-blr-04,129,2690.16,347030.64,29,3.040573446311596,Yes,0.23,Road,Net 30,16
ORD-00139,03-11-2023,13-11-2023 00:00,Blue Dart Express,electronics,Air,Wh-del-02,648,2938.34,1904044.32,42,4.434507459,Yes,0.04,Air,Net 30,10
ORD-00140,27-05-2023,05-07-2023 00:00,Reliance Industries,machinery,Road,Wh-hyd-05,472,3729.74,1760437.28,54,2.159638408002293,No,0,Road,Net 30,39
ORD-00141,10-02-2023,19-02-2023 00:00,Godrej Industries,packaging,Road,Wh-mum-01,63,2163.98,136330.74,39,4.714850163394234,Yes,1.7,Road,Net 60,9
ORD-00142,24-06-2024,12-07-2024 00:00,BlueDart Express,raw materials,Air,Wh-del-02,139,646.63,89881.57,41,8.221188962433377,Yes,0.11,Air,Net 60,18
ORD-00144,15-04-2023,18-05-2023 00:00,Tata Steel Ltd,chemicals,Sea,Wh-del-02,593,1821.78,1080315.54,11,1.1620008005069349,Yes,0,Sea,Cod,33
ORD-00145,27-05-2022,28-05-2022 00:00,Reliance Industries,electronics,Road,Wh-del-02,392,3233.13,1267386.96,39,4.792996374213226,Yes,0.16,Road,Net 60,1
ORD-00146,29-09-2022,19-10-2022 00:00,mahindra logistics,raw materials,Road,Wh-mum-01,675,2858.18,1929271.5,24,1.2445751448175977,Yes,0.26,Road,Net 60,20
ORD-00147,23-05-2022,30-06-2022 00:00,Unknown,Unknown,Air,Wh-hyd-05,419,1786.92,669522.06,46,5.659903020392016,No,0.29,Air,Net 30,38
ORD-00148,10-09-2022,12-10-2022 00:00,DHL Supply Chain,food & beverage,Express Air,Wh-mum-01,289,4932.71,1425553.19,19,2.147085634805821,Yes,0.17,Express Air,Advance,32
ORD-00149,02-02-2024,02-03-2024 00:00,Tata Steel Ltd,machinery,Road,Wh-hyd-05,379,3032.82,1149438.78,4,7.369194936975568,Yes,0.15,Road,Net 30,29
ORD-00151,06-07-2023,10-08-2023 00:00,asian paints ltd,chemicals,Road,Wh-mum-01,490,517.89,253766.1,38,8.434351464999146,No,0.16,Road,Net 30,35
ORD-00152,27-09-2022,18-10-2022 00:00,Unknown,Unknown,Road,Wh-mum-01,231,772.77,178509.87,42,5.659903020392016,Yes,0.11,Road,Net 60,21
ORD-00153,04-02-2024,20-03-2024 00:00,Infosys BPM,raw materials,Road,Wh-mum-01,41,1237.33,50730.53,32,8.555148185506901,No,0.18,Road,Net 60,45
ORD-00154,22-08-2023,16-09-2023 00:00,Asian Paints Ltd,packaging,Road,Wh-mum-01,28,811.8,22730.4,39,9.836188239345647,Yes,0.12,Road,Net 60,25
ORD-00155,15-03-2023,11-04-2023 00:00,RELIANCE INDUSTRIES,food & beverage,Sea,Wh-che-03,135,940.97,127030.95,45,6.592100475281766,Yes,0.07,Sea,Net 30,27
ORD-00156,21-08-2023,unknown,Wipro Logistics,electronics,Road,Wh-mum-01,201,1432.62,287956.62,46,6.032663261463938,Yes,0.03,Road,Net 30,0
ORD-00157,13-02-2023,10-03-2023 00:00,RELIANCE INDUSTRIES,food & beverage,Road,Wh-del-02,840,875.13,735109.2,36,17.262177298899005,Yes,0.09,Road,Advance,25
ORD-00158,06-01-2023,18-02-2023 00:00,Wipro Logistics,raw materials,Rail,Wh-mum-01,47,4484.86,1183130.236513158,40,5.794082980853995,Yes,0.03,Rail,Net 30,43
