order_id,order_date,delivery_date,supplier_name,product_category,region,warehouse_code,quantity_ordered,unit_price_inr,total_amount_inr,lead_time_days,quality_score,on_time_delivery,discount_pct,shipment_mode,payment_terms
ORD-00043,09-03-2023,16-03-2023,Reliance Industries,Packaging,Chennai,wh-mum-01,682,678.74,462900.68,11,5.681714709,yes,0.23385501042721904,Road,Net 90
ORD-00044,15-12-2022,03-01-2023,Godrej Industries,packaging,Pune,WH-HYD-05,476,153.63,41465.31,7,5.028426462881953,0,0.004860119,Express Air,Net 60
ORD-00045,12-10-2022,24-10-2022,mahindra logistics,Machinery,Delhi,WH-PUN-06,700,3778.13,2644691,31,6.020381727362812,Yes,0.24551412743386056,Road,Net 90
ORD-00046,09-06-2022,14-07-2022,,Raw Materials,DELHI,WH-BLR-04,976,3105.34,3075112.98,44,2.494308820745759,,0.012041657725609955,Sea,net 30
ORD-00047,09-08-2022,12-08-2022,Mahindra Logistics,Chemicals,Kolkata,,783,3523.36,2758790.88,,6.521258247752587,,0.26697401290885875,ROAD,NET 60
ORD-00048,21-02-2024,28-03-2024,Blue Dart Express,Raw Materials,Mumbai,,190,1072.69,203811.1,39,4.2679066297060935,No,0.297588824,Express Air,COD
ORD-00049,11-12-2022,20-12-2022,mahindra logistics,Packaging,,WH-HYD-05,958,690.49,661489.42,13,9.074677069,no,0.088220239,ROAD,
ORD-00050,15-04-2022,17-05-2022,  mahindra logistics  ,,mumbai,wh-mum-01,687,82.58,56732.46,31,,0,0.063095567,Rail,net 30
ORD-00051,05-04-2022,06-04-2022,Blue Dart Express,,Hyderabad,WH-CHE-03,958,1759.43,1685533.94,7,5.563459935,1,0.2296090091574122,air,COD
ORD-00052,25-01-2023,25-02-2023,Tata Steel Ltd,Packaging,Delhi,WH-PUN-06,563,2953.69,1662927.47,56,6.383013664321162,Yes,0.075907902,ROAD,Net 30
ORD-00053,10-04-2022,02-05-2022,Reliance Industries,Packaging,mumbai,,876,1967.3,1723354.8,49,1.3004524160774311,YES,0.25966871495166105,,
ORD-00054,03-01-2023,07-01-2023,asian paints ltd,packaging,,WH-MUM-01,567,2193,1243431,42,4.273238122805262,1,0.030852778,Sea,NET 60
ORD-00055,17-05-2024,17-06-2024,TATA STEEL LTD,Food & Beverage,mumbai,wh-mum-01,244,4521.75,1103307,42,7.593717112307496,no,0.037786559,Express Air,net 30
ORD-00056,19-12-2022,24-12-2022,asian paints ltd,Raw Materials,Chennai,WH-HYD-05,832,1747.79,1454161.28,56,8.383397567,Yes,0.2937454665301847,Road,
ORD-00057,11-09-2023,16-09-2023,Tata Steel Ltd,,Chennai,,505,2574.81,1300279.05,36,3.818457953355541,,0.20215166948100138,Sea,Advance
ORD-00058,28-09-2022,11-11-2022,asian paints ltd,Packaging,DELHI,WH_MUM_01,131,3920.43,513576.33,20,8.187339451,YES,0.2540661673286858,air,Net 30
ORD-00059,06-04-2024,03-04-2024,mahindra logistics,Raw Materials,,WH-PUN-06,485,1988.75,964543.75,4,9.709802894,No,0.097298813,air,Net-30
ORD-00060,14-02-2022,06-03-2022,DHL Supply Chain,Packaging,Bangalore,WH-MUM-01,819,3114.21,2550537.99,54,8.711865424675846,0,0.20294512485618132,Air,Net 30
ORD-00061,18-01-2024,03-02-2024,Asian Paints Ltd,raw materials,DELHI,WH-DEL-02,647,4313.19,2790633.93,7,2.0587958934339268,No,0.17827254819257915,air,NET30
ORD-00062,16-04-2023,13-05-2023,,Packaging,mumbai,WH-PUN-06,21,4748.11,99710.31,54,7.657572988769866,yes,0.18094503603688408,,Net-30
ORD-00063,04-07-2023,13-08-2023,DHL Supply Chain,Food & Beverage,Ahmedabad,WH_MUM_01,841,743.9,625619.9,1,3.8770014919649025,Yes,0.20475973786131646,Sea,Net-30
ORD-00064,08-05-2022,11-06-2022,BlueDart Express,Machinery,Kolkata,,167,4633.67,773822.89,44,9.895743904708688,No,0.17260775193872957,Road,net 30
ORD-00039,23-01-2023,21-02-2023,RELIANCE INDUSTRIES,,Bangalore,wh-mum-01,274,2465.66,555466.84,56,5.3682308484389845,1,0.12871871079079977,Road,Net 60
ORD-00066,22-03-2022,29-04-2022,Reliance Industries,,,WH_MUM_01,388,1298.64,503872.32,45,2.1019050852304693,No,0.082776808,ROAD,
ORD-00067,20-07-2023,09-08-2023,Reliance Industries,packaging,Kolkata,wh-mum-01,601,2301.09,1382955.09,,7.5266699322465165,NO,0.2305743992739606,air,Advance
ORD-00068,28-10-2022,01-11-2022,asian paints ltd,Raw Materials,,wh-mum-01,316,4900.36,1548513.76,47,3.9071007854759245,yes,0.067881729,Road,Advance
ORD-00069,29-04-2024,06-05-2024,Asian Paints Ltd,packaging,Bangalore,WH-DEL-02,14,2468.16,34554.24,59,9.973703413734956,no,0.20770629184632425,Express Air,NET30
ORD-00070,06-10-2023,20-10-2023,Godrej Industries,raw materials,Bangalore,wh-mum-01,242,1650.47,399413.74,13,9.818042120690697,0,0.069999847,,
ORD-00071,26-09-2023,13-10-2023,Tata Steel Ltd,Electronics,Delhi,,-69,3170.67,-218776.23,55,6.905206162185226,yes,0.18759905098633617,Sea,Net 30
ORD-00072,25-06-2024,06-07-2024,Tata Steel Ltd,Chemicals,Hyderabad,WH-HYD-05,346,1208.33,418082.18,22,2.168438040565458,NO,0.22412348013870867,ROAD,COD
ORD-00073,01-06-2024,07-07-2024,asian paints ltd,Textiles,mumbai,WH-BLR-04,565,388.56,219536.4,54,7.1817489790752616,Yes,0.065614167,Road,Net 30
ORD-00074,06-01-2023,05-01-2023,TATA STEEL LTD,,Pune,WH-BLR-04,898,653.11,586492.78,21,1.8372743781402447,1,0.017982990258392482,air,net 30
ORD-00075,15-08-2023,29-09-2023,,Textiles,Ahmedabad,WH-PUN-06,340,648.95,220643,22,1.2642774319215309,0,0.039292123,air,Net-30
ORD-00076,16-07-2022,04-08-2022,,Textiles,Kolkata,WH_MUM_01,92,,,28,8.406626015993375,0,0.18179909018130763,,
ORD-00077,23-12-2023,,TATA STEEL LTD,Packaging,Delhi,WH-CHE-03,367,702.75,257909.25,9,2.887776529153132,yes,0.25483392186772064,ROAD,Advance
ORD-00078,13-03-2022,01-04-2022,DHL Supply Chain,Chemicals,Delhi,WH_MUM_01,956,3207.96,3066809.76,26,4.411244135971876,Yes,0.013499046370627309,Sea,NET30
ORD-00079,16-02-2022,18-03-2022,DHL Supply Chain,Machinery,Ahmedabad,WH-PUN-06,455,917.58,417498.9,9,9.761116509785559,,0.22024537771249386,,Net 30
ORD-00080,09-11-2023,05-11-2023,Godrej Industries,,mumbai,WH-MUM-01,428,1734.88,742528.64,15,4.031564516749929,NO,0.10239559378501563,,Net-30
ORD-00081,22-08-2022,02-10-2022,Blue Dart Express,Packaging,mumbai,WH-MUM-01,509,4484.97,2282849.73,10,3.6684080315498373,,0.14355851097585676,air,COD
ORD-00082,02-03-2024,15-03-2024,  Wipro Logistics  ,,Pune,WH-DEL-02,776,2375.07,1843054.32,24,9.263871996604976,1,0.2786578649536697,Express Air,NET30
ORD-00083,24-10-2022,28-11-2022,mahindra logistics,Packaging,Pune,WH-MUM-01,943,3341.11,3150666.73,58,1.996736007870623,Yes,0.099591451,Rail,Net 60
ORD-00084,23-03-2022,02-04-2022,Godrej Industries,,Bangalore,,35,869.88,30445.8,57,7.836241691031686,Yes,0.1396010801818458,Air,NET 60
ORD-00085,25-05-2024,04-06-2024,RELIANCE INDUSTRIES,packaging,Pune,WH-DEL-02,206,969.52,199721.12,42,9.892590099874965,NO,0.004104724,Rail,Net 30
ORD-00086,27-08-2022,24-08-2022,Reliance Industries,Food & Beverage,Pune,WH-PUN-06,81,213.93,17328.33,8,9.111664097,YES,0.024479616001451508,Express Air,COD
ORD-00064,06-06-2024,15-07-2024,DHL Supply Chain,raw materials,Kolkata,WH-DEL-02,932,852.99,794986.68,24,6.865011268357834,,0.077577477,Sea,Net-30
ORD-00088,14-04-2022,21-05-2022,asian paints ltd,Packaging,Ahmedabad,WH-HYD-05,562,1400.17,786895.54,16,3.826547154934588,No,0.008355672,Express Air,Net 60
ORD-00089,25-01-2023,23-02-2023,DHL Supply Chain,packaging,Mumbai,WH_MUM_01,872,893.28,778940.16,49,3.2888978306048506,0,0.18941259781447528,air,COD
ORD-00090,12-10-2022,26-11-2022,TATA STEEL LTD,ELECTRONICS,Hyderabad,WH-BLR-04,388,452.63,175620.44,26,8.373295944,YES,0.12791950704048674,,COD
ORD-00091,10-04-2023,06-05-2023,Reliance Industries,Textiles,Chennai,wh-mum-01,2,611.97,1223.94,27,8.918397225565258,No,0.1644435608184066,Air,Net 90
ORD-00092,13-10-2023,15-11-2023,BlueDart Express,,Pune,wh-mum-01,390,2309.29,900623.1,37,5.728914212911236,NO,0.052394155768898866,Sea,NET30
ORD-00093,04-05-2024,02-06-2024,BlueDart Express,,Kolkata,WH-BLR-04,566,1039.61,588419.26,4,3.1990594670781953,0,0.088779609,ROAD,net 30
ORD-00094,09-01-2023,12-01-2023,Blue Dart Express,Electronics,DELHI,WH-MUM-01,106,1827.71,193737.26,50,2.016488875700562,no,0.19914734245581753,Express Air,Net 60
ORD-00095,16-06-2022,07-07-2022,mahindra logistics,Chemicals,Kolkata,WH-MUM-01,772,2522.05,1947022.6,24,1.7846152104864805,No,0.28959081708911993,Rail,Net 60
ORD-00022,15-01-2023,17-01-2023,asian paints ltd,Machinery,Chennai,WH-DEL-02,822,3455.07,2840067.54,19,7.471697026,YES,0.015125032080662758,Sea,Net 30
ORD-00097,30-12-2022,12-02-2023,  BlueDart Express  ,Machinery,DELHI,WH-MUM-01,477,206.17,98343.09,36,4.7810685506295245,No,0.2671152962565798,Rail,Advance
ORD-00098,03-08-2022,09-09-2022,RELIANCE INDUSTRIES,Packaging,Mumbai,WH-BLR-04,703,3999.06,2811339.18,39,9.148238868500833,No,0.17306436039336254,air,Net-30
ORD-00099,18-11-2023,20-11-2023,asian paints ltd,Electronics,Bangalore,WH-DEL-02,402,3143.22,1263574.44,10,7.657041706540873,NO,0.1691758700266871,,Net 30
ORD-00100,01-10-2022,14-11-2022,Blue Dart Express,Raw Materials,Bangalore,WH-DEL-02,730,417.98,305125.4,25,2.7213437612312803,,0.1500835605623281,,NET 60
ORD-00101,20-12-2023,26-01-2024,Asian Paints Ltd,Chemicals,Ahmedabad,WH-DEL-02,556,4369.16,2429252.96,18,6.5239967693412915,no,0.020818225771255017,ROAD,NET30
ORD-00102,01-12-2023,,BlueDart Express,Food & Beverage,Pune,WH-CHE-03,162,4605.15,746034.3,19,4.919549089583434,NO,0.026963056,Road,net 30
ORD-00103,26-10-2023,26-11-2023,,Food & Beverage,Chennai,,202,314.78,63585.56,36,6.1952475769175175,1,0.18027360169772583,Sea,COD
ORD-00104,15-03-2022,13-04-2022,Godrej Industries,packaging,Delhi,WH-CHE-03,958,1391.62,1333171.96,10,7.642622110046655,NO,1.671791012037489,,Net 60
ORD-00105,16-09-2023,28-09-2023,Asian Paints Ltd,Machinery,Delhi,WH-DEL-02,996,4032.94,4016808.24,33,8.255762929034116,0,0.27518041997330417,air,Advance
ORD-00106,13-10-2023,10-11-2023,TATA STEEL LTD,Packaging,Mumbai,WH-CHE-03,270,3743.82,1010831.4,55,8.593635937660519,no,0.12197716120784168,air,COD
ORD-00107,25-06-2022,27-07-2022,Reliance Industries,,Bangalore,wh-mum-01,863,930.76,803245.88,50,3.2857738711482227,Yes,0.042984438,Rail,NET30
ORD-00108,01-07-2023,01-08-2023,TATA STEEL LTD,Electronics,Kolkata,wh-mum-01,816,1054.65,860594.4,5,1.2800403992562193,1,1.9371486825762951,air,Net 30
ORD-00109,17-01-2024,08-02-2024,RELIANCE INDUSTRIES,Packaging,Chennai,WH-HYD-05,271,1858.66,503696.86,47,7.653652616482958,yes,0.088006026,Sea,NET30
ORD-00110,08-09-2022,15-09-2022,RELIANCE INDUSTRIES,Textiles,Hyderabad,WH-DEL-02,456,2427.77,1107063.12,49,1.9570935363019712,NO,0.15764109220676795,,
ORD-00111,17-06-2022,09-07-2022,Tata Steel Ltd,,Mumbai,WH-HYD-05,462,3095.09,1429931.58,35,,No,0.209349836,Sea,COD
ORD-00112,19-04-2023,21-05-2023,asian paints ltd,,Pune,wh-mum-01,727,1850.88,1345589.76,44,1.0343542071191243,,0.2700792333606211,Road,Net 60
ORD-00113,24-01-2023,19-02-2023,TATA STEEL LTD,Raw Materials,Delhi,,252,2318.05,584148.6,34,7.135025341614581,Yes,0.23765735844050281,Rail,NET 60
ORD-00114,04-10-2022,09-11-2022,Reliance Industries,Food & Beverage,Hyderabad,WH_MUM_01,702,3739.88,2625395.76,33,2.5041881032409914,NO,0.20290832036181722,Sea,NET 60
ORD-00115,18-10-2023,,  BlueDart Express  ,Food & Beverage,DELHI,wh-mum-01,296,193.05,57142.8,55,6.897541687224924,NO,0.20388995471854307,Air,Advance
ORD-00116,06-12-2023,23-12-2023,  Godrej Industries  ,Electronics,DELHI,WH-CHE-03,725,1269.66,920503.5,21,9.925683554510549,YES,0.28377739320962597,Sea,Net 60
ORD-00117,25-07-2023,20-08-2023,Wipro Logistics,Electronics,Mumbai,WH-DEL-02,-740,3569.61,-2641511.4,17,1.6540378444901465,YES,1.3724976154447706,air,Advance
ORD-00118,13-08-2022,14-08-2022,Blue Dart Express,Textiles,Pune,wh-mum-01,749,4477.08,3353332.92,22,1.6937021075631462,Yes,0.000333628,Express Air,NET 60
ORD-00119,03-12-2023,07-01-2024,Asian Paints Ltd,packaging,Bangalore,WH-MUM-01,338,2563.27,866385.26,48,,YES,0.081586368,Express Air,Net 60
ORD-00120,29-11-2022,03-12-2022,Wipro Logistics,Packaging,,,879,2665.25,2342754.75,37,8.797478628262079,No,0.065367414,,Net 60
ORD-00121,13-05-2024,06-06-2024,,,Bangalore,,53,544.79,28873.87,15,2.9397688191219866,1,1.7534763663354656,,Net 30
ORD-00122,26-02-2024,29-03-2024,Blue Dart Express,Food & Beverage,Bangalore,WH_MUM_01,792,2242.59,1776131.28,35,4.243400379373128,yes,0.1901134799296587,Air,Net 30
ORD-00123,05-03-2024,09-03-2024,TATA STEEL LTD,Raw Materials,,WH-MUM-01,922,2667.76,2459674.72,28,1.6165486596428162,no,0.17803841481141713,Sea,Net-30
ORD-00124,27-02-2022,04-04-2022,Wipro Logistics,packaging,,wh-mum-01,217,1219.93,264724.81,7,7.868397621330004,yes,0.004873033,Rail,NET30
ORD-00125,23-08-2022,11-09-2022,BlueDart Express,packaging,Hyderabad,wh-mum-01,764,1353.52,865806.89,32,4.6747570848350595,yes,0.21863341633519423,air,Net 60
ORD-00126,21-04-2024,05-06-2024,  Asian Paints Ltd  ,Machinery,,WH-CHE-03,188,1892.65,355818.2,11,7.833238597547585,no,0.097059124,Rail,Net 90
ORD-00127,02-02-2022,04-02-2022,  DHL Supply Chain  ,Food & Beverage,DELHI,WH-HYD-05,380,110.16,41860.8,10,,YES,0.19951679670198932,Air,Net 30
ORD-00128,04-04-2024,13-05-2024,Wipro Logistics,Machinery,Kolkata,WH-DEL-02,493,1617.18,797269.74,9,3.094868323911599,Yes,0.16697352855064598,air,Advance
ORD-00129,20-11-2022,01-12-2022,Tata Steel Ltd,ELECTRONICS,Chennai,WH-HYD-05,41,1065.13,43670.33,14,8.266564273059561,no,0.10281927762837215,air,Net 30
ORD-00130,15-02-2023,16-02-2023,asian paints ltd,Raw Materials,Ahmedabad,WH-BLR-04,157,1644.21,258140.97,13,1.5318450107042794,0,0.040372880131232323,Rail,net 30
ORD-00131,02-10-2022,08-10-2022,,Food & Beverage,Mumbai,,15,607.61,9114.15,57,9.089626493622227,1,0.028325669298144285,Air,NET 60
ORD-00132,09-03-2022,17-03-2022,Godrej Industries,Machinery,mumbai,WH-CHE-03,813,4453.73,3620882.49,25,6.856916928028726,,0.24945549993366706,Express Air,Net-30
ORD-00133,05-08-2022,13-08-2022,asian paints ltd,Chemicals,Kolkata,WH-HYD-05,65,2972.03,193181.95,2,8.868040517245163,YES,0.2755192626244674,Air,Net 60
ORD-00134,04-08-2023,14-08-2023,RELIANCE INDUSTRIES,Textiles,Ahmedabad,WH-DEL-02,857,3398.72,2912703.04,35,1.001695596009237,no,0.19493641402928988,Air,Net 60
ORD-00135,16-06-2024,05-07-2024,Godrej Industries,Machinery,,WH-CHE-03,839,3947.96,3312338.44,-39,2.5217296332039325,0,0.031030234458145012,Road,Net 30
ORD-00136,06-01-2024,24-01-2024,TATA STEEL LTD,ELECTRONICS,Mumbai,WH-PUN-06,521,2497.23,1301056.83,21,4.507834486838428,,0.1206081650664722,ROAD,
ORD-00137,19-11-2022,20-12-2022,Blue Dart Express,,Hyderabad,,344,443.73,152643.12,18,4.415526130372467,1,0.21868176003154716,air,Net 30
ORD-00138,06-08-2022,22-08-2022,Godrej Industries,,Chennai,WH-BLR-04,129,2690.16,347030.64,,3.040573446311596,1,0.23394626520302042,Road,net 30
ORD-00139,03-11-2023,13-11-2023,Blue Dart Express,Electronics,Mumbai,WH-DEL-02,648,2938.34,1904044.32,42,4.434507459,YES,0.035465587,,Net-30
ORD-00140,27-05-2023,05-07-2023,Reliance Industries,Machinery,Hyderabad,WH-HYD-05,472,3729.74,1760437.28,54,2.1596384080022935,no,9.215653614724761e-06,ROAD,Net-30
ORD-00141,10-02-2023,19-02-2023,Godrej Industries,Packaging,Bangalore,wh-mum-01,63,2163.98,136330.74,39,4.714850163394234,Yes,1.7002347027128126,Road,Net 60
ORD-00142,24-06-2024,12-07-2024,BlueDart Express,raw materials,Kolkata,WH-DEL-02,139,646.63,89881.57,41,8.221188962433377,1,0.10697885279586168,,NET 60
ORD-00098,21-10-2023,17-11-2023,Blue Dart Express,Textiles,Hyderabad,WH-MUM-01,,1426.04,,49,5.311630567930161,Yes,0.076344399,Rail,Net-30
ORD-00144,15-04-2023,18-05-2023,Tata Steel Ltd,Chemicals,Mumbai,WH-DEL-02,593,1821.78,1080315.54,11,1.1620008005069349,Yes,0.003869241,Sea,COD
ORD-00145,27-05-2022,28-05-2022,Reliance Industries,Electronics,DELHI,WH-DEL-02,392,3233.13,1267386.96,39,4.792996374213226,YES,0.1620898220284499,Road,NET 60
ORD-00146,29-09-2022,19-10-2022,mahindra logistics,raw materials,Ahmedabad,wh-mum-01,675,2858.18,1929271.5,24,1.2445751448175975,,0.2553452206277945,Road,NET 60
ORD-00147,23-05-2022,30-06-2022,,,Mumbai,WH-HYD-05,419,1786.92,669522.06,46,9.696190696361183,NO,0.2872894938817764,air,Net 30
ORD-00148,10-09-2022,12-10-2022,DHL Supply Chain,Food & Beverage,Delhi,WH-MUM-01,289,4932.71,1425553.19,19,2.147085634805821,yes,0.16972348518398675,Express Air,Advance
ORD-00149,02-02-2024,02-03-2024,Tata Steel Ltd,Machinery,mumbai,WH-HYD-05,379,3032.82,1149438.78,4,7.3691949369755685,yes,0.15433839832196825,Road,Net-30
ORD-00035,29-07-2023,21-08-2023,RELIANCE INDUSTRIES,raw materials,Ahmedabad,WH-CHE-03,773,1193.76,922776.48,26,9.754986906028773,1,0.025516916,Sea,Advance
ORD-00151,06-07-2023,10-08-2023,asian paints ltd,Chemicals,Hyderabad,WH-MUM-01,490,517.89,253766.1,38,8.434351464999146,NO,0.16466184046277993,Road,Net-30
ORD-00152,27-09-2022,18-10-2022,,Raw Materials,Ahmedabad,WH-MUM-01,231,772.77,178509.87,42,7.293838376135833,,0.11399372368961838,ROAD,NET 60
ORD-00153,04-02-2024,20-03-2024,Infosys BPM,Raw Materials,Ahmedabad,,41,1237.33,50730.53,32,8.555148185506901,NO,0.18214058426507307,ROAD,NET 60
ORD-00154,22-08-2023,16-09-2023,Asian Paints Ltd,,Pune,wh-mum-01,28,811.8,22730.4,39,9.836188239345649,YES,0.116617904,,Net 60
ORD-00155,15-03-2023,11-04-2023,RELIANCE INDUSTRIES,Food & Beverage,Delhi,WH-CHE-03,135,940.97,127030.95,45,6.592100475281766,1,0.072089737,Sea,NET30
ORD-00156,21-08-2023,,Wipro Logistics,Electronics,Mumbai,WH_MUM_01,201,1432.62,287956.62,46,6.032663261463938,Yes,0.028489582568512948,,Net 30
