Record_ID,Crop,Crop_Year,Season,State,Area,Production,Yield,Production_per_Area,Yield_Category
44,Jowar,1997,Rabi       ,Karnataka,1501172,722773,0.510714286,0.481472476171951,Low
45,Jowar,1997,Summer     ,Karnataka,6137,15135,2.470909091,2.466188691543099,Medium
46,Maize,1997,Kharif     ,Karnataka,502797,1391132,2.687777778,2.7667865957831888,Medium
47,Maize,1997,Rabi       ,Karnataka,48844,98932,1.98,2.025468839570878,Medium
48,Maize,1997,Summer     ,Karnataka,9730,20893,2.165714286,2.147276464542652,Medium
49,Ragi,1997,Kharif     ,Karnataka,897921,1214282,1.191333333,1.3523260955028338,Medium
50,Ragi,1997,Rabi       ,Karnataka,27104,33696,1.312222222,1.243211334120425,Medium
51,Ragi,1997,Summer     ,Karnataka,13521,25035,1.847777778,1.851564233414688,Medium
52,Rice,1997,Kharif     ,Karnataka,1031530,2340493,2.2335,2.2689529146025804,Medium
53,Rice,1997,Rabi       ,Karnataka,53889,109350,2.073846154,2.0291710738740747,Medium
54,Rice,1997,Summer     ,Karnataka,268044,762759,2.829444444,2.8456484756234053,Medium
55,Sugarcane,1997,Whole Year ,Karnataka,308857,28999269,91.74736842,93.89221872905584,Very High
56,Turmeric,1997,Whole Year ,Karnataka,4342,24108,4.452941176,5.552280055274068,High
57,Wheat,1997,Rabi       ,Karnataka,250698,118512,0.548333333,0.4727281430246751,Low
58,Arecanut,1997,Whole Year ,Kerala,76145,93995,1.147857143,0.4727281430246751,Medium
59,Black pepper,1997,Whole Year ,Kerala,173855,55520,0.240714286,0.3193465819217164,Low
60,Cashewnut,1997,Whole Year ,Kerala,96073,74142,0.589285714,0.7717256669407638,Low
61,Coconut ,1997,Whole Year ,Kerala,884344,5210000000,5376.054286,5891.372588042662,Very High
62,Tapioca,1997,Whole Year ,Kerala,132875,2841819,22.80357143,21.38716086547507,Very High
63,Arecanut,1997,Whole Year ,Meghalaya,9569,12116,1.245714286,1.266172013794545,Medium
64,Arhar/Tur,1997,Kharif     ,Meghalaya,865,683,0.806666667,0.7895953757225433,Low
65,Banana,1997,Whole Year ,Meghalaya,5239,63011,11.20714286,12.027295285359802,Very High
66,Castor seed,1997,Rabi       ,Meghalaya,30,15,0.49,0.5,Low
67,Cotton(lint),1997,Kharif     ,Meghalaya,7544,5590,0.796666667,0.7409862142099682,Low
68,Dry chillies,1997,Whole Year ,Meghalaya,1766,1106,0.64,0.6262740656851642,Low
69,Ginger,1997,Kharif     ,Meghalaya,7357,45260,6.054285714,6.151964115808074,Very High
70,Gram,1997,Rabi       ,Meghalaya,443,270,0.613333333,6.151964115808074,Low
71,Jute,1997,Kharif     ,Meghalaya,4243,34683,8.436666667,8.174169219891587,Very High
72,Linseed,1997,Kharif     ,Meghalaya,50,22,0.44,0.44,Low
73,Maize,1997,Kharif     ,Meghalaya,17175,24878,0.982466216,1.448500727802038,Medium
74,Mesta,1997,Kharif     ,Meghalaya,4688,21558,4.68,4.598549488054608,High
75,Mesta,1997,Whole Year ,Meghalaya,861,713,0.7525,4.598549488054608,Low
76,Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909,1511,0.777142857,4.598549488054608,Low
77,Potato,1997,Whole Year ,Meghalaya,20764,200509,8.641428571,4.598549488054608,Very High
78,Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914,4467,0.608571429,0.6460804165461382,Low
79,Rice,1997,Kharif     ,Meghalaya,105170,13684,1.378571429,1.4272225919939143,Medium
80,Sesamum,1997,Kharif     ,Meghalaya,1326,688,0.575714286,0.5188536953242836,Low
81,Small millets,1997,Kharif     ,Meghalaya,2804,2237,0.861428571,0.7977888730385164,Low
82,Soyabean,1997,Kharif     ,Meghalaya,898,814,0.921428571,0.9064587973273942,Low
83,Sugarcane,1997,Whole Year ,Meghalaya,82,225,2.352,2.7439024390243905,Medium
84,Sweet potato,1997,Whole Year ,Meghalaya,5212,16978,3.221428571,3.2574827321565616,High
85,Tapioca,1997,Whole Year ,Meghalaya,3959,21087,6.537142857,5.32634503662541,Very High
86,Tobacco,1997,Rabi       ,Meghalaya,9378,13684,0.618,0.6805929919137467,Low
87,Turmeric,1997,Whole Year ,Meghalaya,1401,7126,5.425714286,5.086366880799429,High
88,Wheat,1997,Rabi       ,Meghalaya,4287,6894,1.385,1.6081175647305808,Medium
89,Arecanut,1997,Whole Year ,West Bengal,8058,12423,1.691764706,1.541697691734922,Medium
90,Arhar/Tur,1997,Whole Year ,West Bengal,3630,2181,0.777692308,0.6008264462809917,Low
91,Bajra,1997,Kharif     ,West Bengal,207,13684,0.426666667,0.4589371980676328,Low
92,Barley,1997,Whole Year ,West Bengal,6116,13684,0.982466216,0.8230869849574886,Medium
93,Cardamom,1997,Whole Year ,West Bengal,2674,7,0.0,0.0026178010471204,Low
94,Castor seed,1997,Whole Year ,West Bengal,660,46,0.07,0.0026178010471204,Low
95,Coconut ,1997,Whole Year ,West Bengal,24273,306202300,13003.78778,12614.934289127836,Very High
96,Cotton(lint),1997,Kharif     ,West Bengal,26000,52000,2.0,2.0,Medium
97,Dry chillies,1997,Whole Year ,West Bengal,64034,55569,0.942777778,0.867804603804229,Low
98,Gram,1997,Rabi       ,West Bengal,25485,16994,0.5975,0.867804603804229,Low
99,Groundnut,1997,Whole Year ,West Bengal,29615,38672,1.13,1.305824750970792,Medium
100,Horse-gram,1997,Kharif     ,West Bengal,5645,2556,0.438888889,0.4527900797165633,Low
101,Jowar,1997,Whole Year ,West Bengal,948,450,0.482,0.4746835443037974,Low
102,Jute,1997,Kharif     ,West Bengal,641574,7549700,13.44588235,11.767465639193608,Very High
103,Khesari,1997,Rabi       ,West Bengal,25261,28460,1.095882353,1.1266379003206524,Medium
104,Linseed,1997,Whole Year ,West Bengal,16486,4210,0.251538462,0.255368191192527,Low
105,Maize,1997,Whole Year ,West Bengal,35469,130390,0.982466216,3.676167921283374,Medium
106,Masoor,1997,Rabi       ,West Bengal,51202,35040,0.662352941,0.684348267645795,Low
107,Mesta,1997,Kharif     ,West Bengal,9689,89000,9.154166667,9.185674476210137,Very High
108,Moong(Green Gram),1997,Kharif     ,West Bengal,1490,711,0.548888889,9.185674476210137,Low
109,Moong(Green Gram),1997,Rabi       ,West Bengal,3269,1710,0.542857143,0.5230957479351483,Low
110,Moong(Green Gram),1997,Summer     ,West Bengal,9959,303,0.046,0.0304247414399036,Low
111,Niger seed,1997,Rabi       ,West Bengal,50808100,38657300,0.698888889,0.7608491559416707,Low
112,Niger seed,1997,Whole Year ,West Bengal,6512,3522,0.40375,0.5408476658476659,Low
113,Other Kharif pulses,1997,Kharif     ,West Bengal,1279,725,0.585,0.5668491008600469,Low
114,Potato,1997,Whole Year ,West Bengal,284015,5581553,0.982466216,19.65231765927856,Very High
115,Ragi,1997,Autumn     ,West Bengal,12607,15330,0.986,1.2159911160466408,Low
116,Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123,250950,0.718333333,0.7671426344219147,Low
117,Rice,1997,Autumn     ,West Bengal,423121,751970,1.837222222,1.7771984845942417,Medium
118,Rice,1997,Summer     ,West Bengal,1206829,3569520,0.982466216,2.957767836205461,Medium
119,Rice,1997,Winter     ,West Bengal,4270328,13684,1.985555556,2.087685067751236,Medium
120,Safflower,1997,Whole Year ,West Bengal,10800,3000,0.2975,0.2777777777777778,Low
121,Sannhamp,1997,Whole Year ,West Bengal,2015,9073,4.598571429,4.50272952853598,High
122,Sesamum,1997,Whole Year ,West Bengal,127913,13684,0.649444444,0.6953398012711764,Low
123,Small millets,1997,Whole Year ,West Bengal,5046,3222,0.626666667,0.638525564803805,Low
124,Soyabean,1997,Kharif     ,West Bengal,1555,1172,1.196666667,0.7536977491961415,Medium
125,Sugarcane,1997,Whole Year ,West Bengal,25797,1818700,67.83625,70.50044578826996,Very High
126,Sunflower,1997,Whole Year ,West Bengal,278,1,0.0,0.0035971223021582,Low
127,Turmeric,1997,Whole Year ,West Bengal,12481,23556,1.661111111,1.8873487701305984,Medium
128,Urad,1997,Kharif     ,West Bengal,69271,44480,1.825,0.6421157482929364,Medium
129,Urad,1997,Rabi       ,West Bengal,16694,10553,0.628333333,0.6321432850125793,Low
130,Wheat,1997,Rabi       ,West Bengal,367374,810480,0.982466216,2.206144147381143,Medium
131,Arecanut,1998,Kharif     ,Puducherry,66,23,0.35,0.3484848484848485,Low
132,Bajra,1998,Kharif     ,Puducherry,149,324,2.17,2.174496644295302,Medium
133,Black pepper,1998,Kharif     ,Puducherry,12,7,0.58,0.5833333333333334,Low
134,Coriander,1998,Kharif     ,Puducherry,2,1,0.5,0.5,Low
135,Cotton(lint),1998,Summer     ,Puducherry,453,372,0.84,0.8211920529801324,Low
136,Dry chillies,1998,Kharif     ,Puducherry,8,23,2.75,2.875,Medium
137,Groundnut,1998,Rabi       ,Puducherry,1046,2062,1.54,1.97131931166348,Medium
138,Onion,1998,Kharif     ,Puducherry,26,429,0.982466216,16.5,Very High
139,Ragi,1998,Kharif     ,Puducherry,112,366,3.27,3.267857142857143,High
140,Rice,1998,Kharif     ,Puducherry,4945,11518,2.46,3.267857142857143,Medium
141,Rice,1998,Rabi       ,Puducherry,13961,30220,2.555,2.164601389585273,Medium
142,Rice,1998,Summer     ,Puducherry,5716,14863,2.55,2.6002449265220435,Medium
143,Sesamum,1998,Kharif     ,Puducherry,147,120,0.806666667,0.8163265306122449,Low
144,Small millets,1998,Kharif     ,Puducherry,4,3,0.75,0.75,Low
145,Sugarcane,1998,Kharif     ,Puducherry,2710,13684,82.595,85.7450184501845,Very High
146,Tapioca,1998,Kharif     ,Puducherry,649,19110,20.0,29.445300462249616,Very High
147,Arecanut,1998,Whole Year ,Assam,74457,55355,0.784347826,0.7434492391581718,Low
148,Arhar/Tur,1998,Kharif     ,Assam,7657,5389,0.709130435,0.7434492391581718,Low
149,Banana,1998,Whole Year ,Assam,41885,581884,13.78826087,0.7434492391581718,Very High
150,Castor seed,1998,Kharif     ,Assam,9378,708,0.411428571,0.4097222222222222,Low
151,Coconut ,1998,Whole Year ,Assam,20166,149866000,6045.886957,7431.617574134682,Very High
152,Cotton(lint),1998,Kharif     ,Assam,9378,751,0.399130435,0.4546004842615012,Low
153,Dry chillies,1998,Whole Year ,Assam,14724,9690,0.636956522,0.6581092094539527,Low
154,Gram,1998,Rabi       ,Assam,3002,1503,0.460454545,0.5006662225183212,Low
155,Jute,1998,Kharif     ,Assam,78702,687173,9.040869565,8.731328301695001,Very High
156,Linseed,1998,Rabi       ,Assam,10222,5212,0.480909091,0.5098806495793387,Low
157,Maize,1998,Kharif     ,Assam,19810,13965,0.608695652,0.7049469964664311,Low
158,Mesta,1998,Kharif     ,Assam,5260,25623,4.9105,0.7049469964664311,High
159,Niger seed,1998,Kharif     ,Assam,8753,4478,0.520555556,0.5115960242202673,Low
160,Onion,1998,Whole Year ,Assam,8083,18341,2.340434783,0.5115960242202673,Medium
161,Other  Rabi pulses,1998,Rabi       ,Assam,116141,62330,0.50826087,0.5115960242202673,Low
162,Potato,1998,Whole Year ,Assam,76958,611077,0.982466216,7.940396060188674,Very High
163,Rapeseed &Mustard,1998,Rabi       ,Assam,288829,135631,0.473478261,0.4695892725453469,Low
164,Rice,1998,Autumn     ,Assam,594979,13684,0.982466216,0.8749972688111681,Medium
165,Rice,1998,Summer     ,Assam,223913,446114,1.685217391,1.992354173272655,Medium
166,Rice,1998,Winter     ,Assam,1635230,2288114,1.395652174,1.3992612659992785,Medium
167,Sesamum,1998,Kharif     ,Assam,15940,8210,0.485217391,0.5150564617314931,Low
168,Small millets,1998,Kharif     ,Assam,10547,5450,0.521363636,0.5167346164786195,Low
169,Sugarcane,1998,Whole Year ,Assam,30571,13684,39.89304348,40.02414052533447,Very High
170,Sweet potato,1998,Whole Year ,Assam,9433,32437,3.435652174,3.4386727446199514,High
171,Tapioca,1998,Whole Year ,Assam,2798,13261,4.445217391,4.739456754824875,High
172,Tobacco,1998,Whole Year ,Assam,1465,732,0.569545455,0.4996587030716723,Low
173,Turmeric,1998,Whole Year ,Assam,10729,7416,0.666956522,0.6912107372541709,Low
174,Wheat,1998,Rabi       ,Assam,89591,90509,0.999545455,1.0102465649451395,Low
175,Arecanut,1998,Whole Year ,Goa,1500,1820,1.21,1.2133333333333334,Medium
176,Banana,1998,Whole Year ,Goa,1900,14400,7.58,1.2133333333333334,Very High
177,Black pepper,1998,Whole Year ,Goa,250,70,0.28,0.28,Low
178,Cashewnut,1998,Whole Year ,Goa,52875,13684,0.28,0.2836879432624113,Low
179,Coconut ,1998,Whole Year ,Goa,24858,121000000,4867.65,4867.648242014643,Very High
180,Groundnut,1998,Kharif     ,Goa,350,412,1.18,1.177142857142857,Medium
181,Groundnut,1998,Rabi       ,Goa,1048,2124,2.03,2.0267175572519083,Medium
182,Other  Rabi pulses,1998,Rabi       ,Goa,8671,13684,1.06,1.063314496597855,Medium
183,Other Kharif pulses,1998,Kharif     ,Goa,1200,324,0.27,0.27,Low
184,Ragi,1998,Kharif     ,Goa,2500,2476,0.99,0.9904,Low
185,Rice,1998,Kharif     ,Goa,41000,104249,2.54,2.542658536585366,Medium
186,Rice,1998,Rabi       ,Goa,15439,46925,3.04,3.039380788911199,High
187,Sugarcane,1998,Whole Year ,Goa,1320,64000,0.982466216,48.48484848484848,Very High
188,Arecanut,1998,Whole Year ,Karnataka,98047,648365,6.232,6.612797943843259,Very High
189,Arhar/Tur,1998,Kharif     ,Karnataka,475396,221453,0.400833333,0.4658284882497959,Low
190,Bajra,1998,Kharif     ,Karnataka,415816,282231,0.601764706,0.678740115820459,Low
191,Bajra,1998,Rabi       ,Karnataka,451,536,1.19,1.188470066518847,Medium
192,Bajra,1998,Summer     ,Karnataka,846,498,0.59,0.5886524822695035,Low
193,Black pepper,1998,Whole Year ,Karnataka,4387,10342,2.238,2.357419648962845,Medium
194,Cardamom,1998,Whole Year ,Karnataka,20218,1153,0.06,0.0570283905430804,Low
195,Castor seed,1998,Kharif     ,Karnataka,27246,23245,0.831818182,0.8531527563679072,Low
196,Coconut ,1998,Whole Year ,Karnataka,310399,1611530000,4692.261111,5191.801519979123,Very High
197,Coriander,1998,Whole Year ,Karnataka,17935,2982,0.118,0.1662670755505993,Low
198,Cotton(lint),1998,Kharif     ,Karnataka,9378,976876,0.982466216,1.534774035931154,Medium
199,Dry chillies,1998,Whole Year ,Karnataka,170319,146498,0.982466216,0.8601389157991768,Medium
200,Garlic,1998,Whole Year ,Karnataka,3574,3034,1.459411765,0.8489087856743145,Medium
201,Ginger,1998,Kharif     ,Karnataka,3896,51169,12.75944444,13.133726899383984,Very High
202,Gram,1998,Rabi       ,Karnataka,355326,202508,0.573478261,0.5699217057012433,Low
203,Groundnut,1998,Kharif     ,Karnataka,1012577,929016,0.8568,0.917476893115289,Low
204,Groundnut,1998,Rabi       ,Karnataka,217445,263118,1.3052,1.2100439191519694,Medium
205,Horse-gram,1998,Kharif     ,Karnataka,189486,90718,0.504615385,0.4787583251533094,Low
206,Horse-gram,1998,Rabi       ,Karnataka,134779,62084,0.4492,0.4606355589520622,Low
207,Jowar,1998,Kharif     ,Karnataka,420808,616645,1.305714286,1.4653832626756145,Medium
208,Jowar,1998,Rabi       ,Karnataka,1420162,1003450,0.7235,0.7065743203944339,Low
209,Jowar,1998,Summer     ,Karnataka,8897,23144,2.461333333,2.601326289760593,Medium
210,Linseed,1998,Rabi       ,Karnataka,19806,6441,0.315,0.3252044834898515,Low
211,Maize,1998,Kharif     ,Karnataka,9378,1542607,3.366,0.3252044834898515,High
212,Maize,1998,Rabi       ,Karnataka,49922,101605,1.97952381,2.0352750290453105,Medium
213,Maize,1998,Summer     ,Karnataka,11974,27080,2.241904762,2.2615667279104725,Medium
214,Moong(Green Gram),1998,Kharif     ,Karnataka,311720,61227,0.180769231,0.1964166559733093,Low
215,Moong(Green Gram),1998,Rabi       ,Karnataka,15627,7005,0.438823529,0.4482626223843348,Low
216,Niger seed,1998,Kharif     ,Karnataka,9378,8104,0.214782609,0.1936300862542709,Low
217,Onion,1998,Kharif     ,Karnataka,79921,362053,5.363636364,4.530136009309193,High
218,Onion,1998,Rabi       ,Karnataka,8882,91057,8.936315789,10.251857689709524,Very High
219,Onion,1998,Summer     ,Karnataka,9378,55339,11.86631579,11.536168438607463,Very High
220,Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730,15872,0.982466216,9.17456647398844,Very High
221,Peas & beans (Pulses),1998,Rabi       ,Karnataka,494,4882,8.948181818,9.882591093117409,Very High
222,Peas & beans (Pulses),1998,Summer     ,Karnataka,9378,13707,7.827,8.658875552747947,Very High
223,Potato,1998,Kharif     ,Karnataka,28755,317052,12.37333333,11.025978090766824,Very High
224,Potato,1998,Rabi       ,Karnataka,4173,82124,18.90714286,19.679846633117663,Very High
225,Potato,1998,Summer     ,Karnataka,1137,19387,0.982466216,17.051011433597186,Very High
226,Potato,1998,Whole Year ,Karnataka,268,3910,14.59,14.58955223880597,Very High
227,Ragi,1998,Kharif     ,Karnataka,986173,1664767,1.418,1.688108475896217,Medium
228,Ragi,1998,Rabi       ,Karnataka,9378,45301,1.361,1.338959004522212,Medium
229,Ragi,1998,Summer     ,Karnataka,10673,24008,0.982466216,2.2494144101939475,Medium
230,Rapeseed &Mustard,1998,Kharif     ,Karnataka,6673,1790,0.210625,0.2682451670912633,Low
231,Rice,1998,Kharif     ,Karnataka,1079193,2599170,2.310740741,2.408438527677626,Medium
232,Rice,1998,Rabi       ,Karnataka,51782,106072,2.054285714,2.0484338187014792,Medium
233,Rice,1998,Summer     ,Karnataka,295830,13684,2.99375,3.2166075110705474,Medium
234,Safflower,1998,Rabi       ,Karnataka,97487,58727,0.616428571,0.6024085262650405,Low
235,Sesamum,1998,Kharif     ,Karnataka,115250,13684,0.417307692,0.6024085262650405,Low
236,Soyabean,1998,Kharif     ,Karnataka,9378,70294,1.060588235,1.076329449233643,Medium
237,Sunflower,1998,Kharif     ,Karnataka,430676,127090,0.382608696,0.2950942239641865,Low
238,Sunflower,1998,Rabi       ,Karnataka,359514,112736,0.390416667,0.3135788870530772,Low
239,Sunflower,1998,Summer     ,Karnataka,43156,24211,0.595217391,0.5610112151265177,Low
240,Turmeric,1998,Whole Year ,Karnataka,5007,25386,4.682380952,5.07010185739964,High
241,Wheat,1998,Rabi       ,Karnataka,268981,219433,0.848823529,5.07010185739964,Low
242,Arecanut,1998,Whole Year ,Kerala,73639,68479,0.797857143,0.9299284346609812,Low
243,Banana,1998,Whole Year ,Kerala,30521,386588,12.85714286,12.66629533763638,Very High
244,Black pepper,1998,Whole Year ,Kerala,182384,68510,0.261428571,0.3756360207035705,Low
245,Cardamom,1998,Whole Year ,Kerala,41449,4990,0.045555556,0.120388911674588,Low
246,Cashewnut,1998,Whole Year ,Kerala,91268,51336,0.484285714,0.120388911674588,Low
247,Coconut ,1998,Whole Year ,Kerala,882288,5132000000,5304.749286,5816.694775402137,Very High
248,Cotton(lint),1998,Kharif     ,Kerala,10999,17752,1.61,1.6139649059005363,Medium
249,Dry chillies,1998,Whole Year ,Kerala,297,288,0.937777778,0.9696969696969696,Low
250,Garlic,1998,Whole Year ,Kerala,742,12614,17.0,17.0,Very High
251,Ginger,1998,Whole Year ,Kerala,11107,39362,2.93,17.0,Medium
252,Groundnut,1998,Kharif     ,Kerala,7021,5219,0.62,0.7433414043583535,Low
253,Jowar,1998,Kharif     ,Kerala,2177,1108,0.505,0.5089572806614607,Low
254,Ragi,1998,Kharif     ,Kerala,1157,936,0.81,0.8089887640449438,Low
255,Rice,1998,Autumn     ,Kerala,120217,235849,1.856923077,1.9618606353510728,Medium
256,Rice,1998,Summer     ,Kerala,57700,144872,2.116153846,2.5107798960138648,Medium
257,Rice,1998,Winter     ,Kerala,174714,346022,1.937142857,1.9805052829195144,Medium
258,Sesamum,1998,Kharif     ,Kerala,3303,13684,0.467272727,0.3200121102028459,Low
259,Sugarcane,1998,Whole Year ,Kerala,6160,472160,64.83,76.64935064935065,Very High
260,Sweet potato,1998,Whole Year ,Kerala,1099,11924,11.718,10.849863512283894,Very High
261,Tapioca,1998,Whole Year ,Kerala,112774,2630155,25.51785714,23.32235266994165,Very High
262,Tobacco,1998,Whole Year ,Kerala,41,228,5.56,5.560975609756097,High
263,Turmeric,1998,Whole Year ,Kerala,3706,8034,1.997857143,2.167835941716136,Medium
264,Arecanut,1998,Whole Year ,Meghalaya,9585,11567,0.982466216,1.2067814293166406,Medium
265,Arhar/Tur,1998,Kharif     ,Meghalaya,861,678,0.803333333,0.7874564459930313,Low
266,Banana,1998,Whole Year ,Meghalaya,5194,62888,11.26714286,12.107816711590296,Very High
267,Cotton(lint),1998,Kharif     ,Meghalaya,7549,5599,0.796666667,0.7416876407471188,Low
268,Dry chillies,1998,Whole Year ,Meghalaya,1764,1051,0.598571429,0.5958049886621315,Low
269,Ginger,1998,Kharif     ,Meghalaya,7403,45590,6.008571429,6.158314196947184,Very High
270,Gram,1998,Rabi       ,Meghalaya,463,283,0.61,0.6112311015118791,Low
271,Jute,1998,Kharif     ,Meghalaya,4241,27097,7.553333333,6.389294977599623,Very High
272,Linseed,1998,Kharif     ,Meghalaya,51,23,0.45,0.4509803921568627,Low
273,Maize,1998,Kharif     ,Meghalaya,17219,25272,1.457142857,1.4676810500029038,Medium
274,Mesta,1998,Kharif     ,Meghalaya,4681,21362,4.58,4.563554795983764,High
275,Mesta,1998,Whole Year ,Meghalaya,871,631,0.68,0.7244546498277842,Low
276,Other  Rabi pulses,1998,Rabi       ,Meghalaya,1938,1527,0.755714286,0.7879256965944272,Low
277,Potato,1998,Whole Year ,Meghalaya,9378,201059,7.738571429,9.688189659326362,Very High
278,Rapeseed &Mustard,1998,Rabi       ,Meghalaya,6916,4576,0.635714286,0.6616541353383458,Low
279,Rice,1998,Kharif     ,Meghalaya,105402,149742,0.982466216,1.420675129504184,Medium
280,Sesamum,1998,Kharif     ,Meghalaya,1322,13684,0.575714286,0.5249621785173979,Low
281,Small millets,1998,Kharif     ,Meghalaya,2823,2282,0.871428571,0.8083599008147361,Low
282,Soyabean,1998,Kharif     ,Meghalaya,899,812,0.881428571,0.9032258064516128,Low
283,Sugarcane,1998,Whole Year ,Meghalaya,83,225,2.328,2.710843373493976,Medium
284,Sweet potato,1998,Whole Year ,Meghalaya,5181,17291,0.982466216,3.3373866049025285,High
285,Tapioca,1998,Whole Year ,Meghalaya,3963,21251,6.547142857,5.362351753721928,Very High
286,Tobacco,1998,Whole Year ,Meghalaya,742,507,0.61,0.683288409703504,Low
287,Turmeric,1998,Whole Year ,Meghalaya,1375,6997,5.624285714,5.088727272727272,High
288,Wheat,1998,Rabi       ,Meghalaya,4287,6998,1.605,1.6323769535805923,Medium
289,Arecanut,1998,Whole Year ,West Bengal,8239,13665,1.595294118,1.658575069790023,Medium
290,Arhar/Tur,1998,Kharif     ,West Bengal,2606,1672,0.756923077,0.6415963161933999,Low
291,Bajra,1998,Kharif     ,West Bengal,175,84,0.436666667,0.48,Low
292,Barley,1998,Rabi       ,West Bengal,5938,5910,1.10375,0.9952846076119906,Medium
293,Cardamom,1998,Whole Year ,West Bengal,2875,690,0.24,0.24,Low
294,Castor seed,1998,Rabi       ,West Bengal,54,38,0.7,0.7037037037037037,Low
295,Coconut ,1998,Whole Year ,West Bengal,24616,318174400,12448.06222,0.7037037037037037,Very High
296,Cotton(lint),1998,Kharif     ,West Bengal,200,73,0.37,0.365,Low
297,Dry chillies,1998,Whole Year ,West Bengal,64354,51303,0.890555556,0.7971998632563633,Low
298,Ginger,1998,Kharif     ,West Bengal,9398,18839,1.449444444,2.004575441583316,Medium
299,Gram,1998,Rabi       ,West Bengal,23286,18971,0.875,0.8146955252082797,Low
